DATAFLOW,LAST UPDATE,freq,unit,iscedf13,isced11,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Estonia,2018,255,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Estonia,2019,253,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Estonia,2020,295,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Estonia,2021,256,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Estonia,2022,285,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Greece,2013,6158,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Greece,2014,5071,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Greece,2015,4924,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Greece,2016,4541,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Greece,2017,5020,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Greece,2018,5090,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Greece,2019,5373,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Greece,2020,5680,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Greece,2021,5378,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Greece,2022,5240,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Spain,2013,25874,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Spain,2014,25391,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Spain,2015,24783,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Spain,2016,24915,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Spain,2017,26120,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Spain,2018,25275,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Spain,2019,25580,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Spain,2020,25364,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Spain,2021,27489,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Spain,2022,28007,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,European Union - 28 countries (2013-2020),2016,197463,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,European Union - 28 countries (2013-2020),2017,208419,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,European Union - 28 countries (2013-2020),2018,207545,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,European Union - 28 countries (2013-2020),2019,210481,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Finland,2013,1619,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Finland,2014,1631,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Finland,2015,1576,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Finland,2016,1559,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Finland,2017,1755,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Finland,2018,1878,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Finland,2019,1946,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Finland,2020,2051,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Finland,2021,2101,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Finland,2022,2261,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,France,2016,5178,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,France,2017,5381,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,France,2018,5970,b
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,France,2019,6819,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,France,2020,6874,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,France,2021,6424,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,France,2022,7008,
