year,area,concept,escs,metric,value
2003,DNK,escs,quart_1,freq,10.7676619600887
2003,DNK,escs,quart_1,freq_se,0.673712926594955
2003,DNK,escs,quart_2,freq,21.412718468346
2003,DNK,escs,quart_2,freq_se,0.789425359877446
2003,DNK,escs,quart_3,freq,30.7088270398312
2003,DNK,escs,quart_3,freq_se,0.750053322180711
2003,DNK,escs,quart_4,freq,37.1107925317341
2003,DNK,escs,quart_4,freq_se,1.3447451122239
2003,ESP,escs,quart_1,freq,34.9302335657314
2003,ESP,escs,quart_1,freq_se,1.52983891502923
2003,ESP,escs,quart_2,freq,22.2298367913425
2003,ESP,escs,quart_2,freq_se,0.589636805879603
2003,ESP,escs,quart_3,freq,15.2190496757155
2003,ESP,escs,quart_3,freq_se,0.649325955688282
2003,ESP,escs,quart_4,freq,27.6208799672107
2003,ESP,escs,quart_4,freq_se,1.50449503910215
2003,FIN,escs,quart_1,freq,13.2008798420293
2003,FIN,escs,quart_1,freq_se,0.539676914903723
2003,FIN,escs,quart_2,freq,23.2880466069947
2003,FIN,escs,quart_2,freq_se,0.672532478978179
2003,FIN,escs,quart_3,freq,28.1883442651007
2003,FIN,escs,quart_3,freq_se,0.799469925089866
2003,FIN,escs,quart_4,freq,35.3227292858753
2003,FIN,escs,quart_4,freq_se,0.980034782860591
2003,FRA,escs,quart_1,freq,28.5502464540021
2003,FRA,escs,quart_1,freq_se,1.15755238201188
2003,FRA,escs,quart_2,freq,26.1701608385481
2003,FRA,escs,quart_2,freq_se,0.941743392895349
2003,FRA,escs,quart_3,freq,25.7747134927969
2003,FRA,escs,quart_3,freq_se,0.878596440215912
2003,FRA,escs,quart_4,freq,19.5048792146529
2003,FRA,escs,quart_4,freq_se,1.05440502370214
2003,GBR,escs,quart_1,freq,18.6317178273932
2003,GBR,escs,quart_1,freq_se,0.657574503178826
2003,GBR,escs,quart_2,freq,27.8574401818411
2003,GBR,escs,quart_2,freq_se,0.904064818617032
2003,GBR,escs,quart_3,freq,27.1396356154219
2003,GBR,escs,quart_3,freq_se,0.757158356948928
2003,GBR,escs,quart_4,freq,26.3712063753437
2003,GBR,escs,quart_4,freq_se,1.12627743812261
2003,GRC,escs,quart_1,freq,33.7451263386007
2003,GRC,escs,quart_1,freq_se,1.41391881735082
2003,GRC,escs,quart_2,freq,25.1285055975763
2003,GRC,escs,quart_2,freq_se,0.9334659976563
2003,GRC,escs,quart_3,freq,20.8949735466228
2003,GRC,escs,quart_3,freq_se,0.728350460873889
2003,GRC,escs,quart_4,freq,20.2313945172002
2003,GRC,escs,quart_4,freq_se,1.76471365420381
2003,HUN,escs,quart_1,freq,31.6436199701219
2003,HUN,escs,quart_1,freq_se,0.978418773539779
2003,HUN,escs,quart_2,freq,27.751768014362
2003,HUN,escs,quart_2,freq_se,0.863245388587677
2003,HUN,escs,quart_3,freq,20.8030321127158
2003,HUN,escs,quart_3,freq_se,0.682730139064504
2003,HUN,escs,quart_4,freq,19.8015799028003
2003,HUN,escs,quart_4,freq_se,0.92693662876805
