year,area,concept,books,metric,value
2000,POL,books,26_100,freq,21.9426554837676
2000,POL,books,26_100,freq_se,0.835433308522857
2000,POL,books,more_500,freq,13.7373645515241
2000,POL,books,more_500,freq_se,0.797530415009207
2000,PRT,books,0_10,freq,16.1136385807978
2000,PRT,books,0_10,freq_se,0.760550313154385
2000,PRT,books,101_200,freq,14.9172492940574
2000,PRT,books,101_200,freq_se,0.651085421227322
2000,PRT,books,11_25,freq,31.7568761424766
2000,PRT,books,11_25,freq_se,1.22631110095469
2000,PRT,books,201_500,freq,9.49617940272188
2000,PRT,books,201_500,freq_se,0.635795488786313
2000,PRT,books,26_100,freq,21.1997832999166
2000,PRT,books,26_100,freq_se,0.803755506239152
2000,PRT,books,more_500,freq,6.51627328002975
2000,PRT,books,more_500,freq_se,0.600354633418398
2000,SWE,books,0_10,freq,5.60758517619078
2000,SWE,books,0_10,freq_se,0.431578273955471
2000,SWE,books,101_200,freq,24.5119410111176
2000,SWE,books,101_200,freq_se,0.658145225458138
2000,SWE,books,11_25,freq,14.4459630923812
2000,SWE,books,11_25,freq_se,0.610676518402745
2000,SWE,books,201_500,freq,20.7842095737724
2000,SWE,books,201_500,freq_se,0.727716267385779
2000,SWE,books,26_100,freq,18.4888072622839
2000,SWE,books,26_100,freq_se,0.696616965406434
2000,SWE,books,more_500,freq,16.1614938842541
2000,SWE,books,more_500,freq_se,0.596472597771922
2000,EU28,books,0_10,freq,9.97383898704811
2000,EU28,books,0_10,freq_se,0.184053506588181
2000,EU28,books,101_200,freq,21.0985034867479
2000,EU28,books,101_200,freq_se,0.241676057626839
2000,EU28,books,11_25,freq,19.9918494573412
2000,EU28,books,11_25,freq_se,0.23107454296415
2000,EU28,books,201_500,freq,15.0124466770076
2000,EU28,books,201_500,freq_se,0.204596600846669
2000,EU28,books,26_100,freq,22.0319962194093
2000,EU28,books,26_100,freq_se,0.212673790760567
2000,EU28,books,more_500,freq,11.8913651724459
2000,EU28,books,more_500,freq_se,0.178902318883492
2003,AUT,books,0_10,freq,9.40570984207397
2003,AUT,books,0_10,freq_se,0.583799544401168
2003,AUT,books,101_200,freq,19.3006105976388
2003,AUT,books,101_200,freq_se,0.713078810583179
2003,AUT,books,11_25,freq,15.817761821068
2003,AUT,books,11_25,freq_se,0.742871834890537
2003,AUT,books,201_500,freq,14.2349106122795
2003,AUT,books,201_500,freq_se,0.606592534810446
2003,AUT,books,26_100,freq,32.7603458430342
2003,AUT,books,26_100,freq_se,0.788926768754058
2003,AUT,books,more_500,freq,8.48066128390557
2003,AUT,books,more_500,freq_se,0.461797906242584
2003,BEL,books,0_10,freq,11.9935107317404
2003,BEL,books,0_10,freq_se,0.521240300181279
2003,BEL,books,101_200,freq,18.3930425411769
2003,BEL,books,101_200,freq_se,0.45599248201073
2003,BEL,books,11_25,freq,15.7716620937207
2003,BEL,books,11_25,freq_se,0.513208770867448
2003,BEL,books,201_500,freq,14.3128253746868
2003,BEL,books,201_500,freq_se,0.455585905733033
2003,BEL,books,26_100,freq,30.7924558342371
2003,BEL,books,26_100,freq_se,0.510932663364678
2003,BEL,books,more_500,freq,8.7365034244382
2003,BEL,books,more_500,freq_se,0.451175851297416
2003,CZE,books,0_10,freq,1.97755983724264
2003,CZE,books,0_10,freq_se,0.221841216675168
2003,CZE,books,101_200,freq,27.7120221991103
2003,CZE,books,101_200,freq_se,0.671983901010458
2003,CZE,books,11_25,freq,4.7723677750351
2003,CZE,books,11_25,freq_se,0.379252457691847
2003,CZE,books,201_500,freq,22.7467611252959
2003,CZE,books,201_500,freq_se,0.748299748479898
2003,CZE,books,26_100,freq,29.7838943185408
2003,CZE,books,26_100,freq_se,0.930856897922534
2003,CZE,books,more_500,freq,13.0073947447752
2003,CZE,books,more_500,freq_se,0.624543341523859
2003,DEU,books,0_10,freq,7.00005869587068
2003,DEU,books,0_10,freq_se,0.509707463208322
2003,DEU,books,101_200,freq,20.7583420255098
2003,DEU,books,101_200,freq_se,0.722796651685346
2003,DEU,books,11_25,freq,13.2885703943654
2003,DEU,books,11_25,freq_se,0.587517651788055
2003,DEU,books,201_500,freq,17.3314413112229
2003,DEU,books,201_500,freq_se,0.597310071601224
2003,DEU,books,26_100,freq,29.8004845613699
2003,DEU,books,26_100,freq_se,0.728839731176011
2003,DEU,books,more_500,freq,11.8211030116612
2003,DEU,books,more_500,freq_se,0.707874816153907
2003,DNK,books,0_10,freq,7.62410988839302
2003,DNK,books,0_10,freq_se,0.45494883562224
2003,DNK,books,101_200,freq,20.5382304312562
2003,DNK,books,101_200,freq_se,0.566196074358368
2003,DNK,books,11_25,freq,13.101530602714
2003,DNK,books,11_25,freq_se,0.678152964351006
2003,DNK,books,201_500,freq,16.4054444813197
2003,DNK,books,201_500,freq_se,0.799381270290514
2003,DNK,books,26_100,freq,32.2212253553415
2003,DNK,books,26_100,freq_se,0.73230786569736
2003,DNK,books,more_500,freq,10.1094592409756
2003,DNK,books,more_500,freq_se,0.589422734542983
2003,ESP,books,0_10,freq,4.4974427800365
2003,ESP,books,0_10,freq_se,0.326348044840739
2003,ESP,books,101_200,freq,20.8043633865919
2003,ESP,books,101_200,freq_se,0.649773158710378
2003,ESP,books,11_25,freq,12.9022234630744
2003,ESP,books,11_25,freq_se,0.734043319253095
2003,ESP,books,201_500,freq,16.7393635216207
2003,ESP,books,201_500,freq_se,0.693746815039307
2003,ESP,books,26_100,freq,34.4110626430119
2003,ESP,books,26_100,freq_se,0.82340628544113
2003,ESP,books,more_500,freq,10.6455442056646
2003,ESP,books,more_500,freq_se,0.679106629829603
2003,FIN,books,0_10,freq,5.16210335734057
2003,FIN,books,0_10,freq_se,0.359282656158437
2003,FIN,books,101_200,freq,22.2383881027017
2003,FIN,books,101_200,freq_se,0.653210628436124
2003,FIN,books,11_25,freq,12.6331250941527
2003,FIN,books,11_25,freq_se,0.53581777323092
2003,FIN,books,201_500,freq,16.4910715833905
2003,FIN,books,201_500,freq_se,0.615452783243545
2003,FIN,books,26_100,freq,36.841993708768
2003,FIN,books,26_100,freq_se,0.698973782145694
2003,FIN,books,more_500,freq,6.63331815364648
2003,FIN,books,more_500,freq_se,0.408879330895793
2003,FRA,books,0_10,freq,9.22371384612136
2003,FRA,books,0_10,freq_se,0.552056154938866
2003,FRA,books,101_200,freq,19.757369290423
2003,FRA,books,101_200,freq_se,0.713532180149591
2003,FRA,books,11_25,freq,15.7520029292868
2003,FRA,books,11_25,freq_se,0.554053826850512
2003,FRA,books,201_500,freq,12.847137884986
2003,FRA,books,201_500,freq_se,0.620858406128057
2003,FRA,books,26_100,freq,34.3030219799324
2003,FRA,books,26_100,freq_se,0.844929983823057
2003,FRA,books,more_500,freq,8.11675406925044
2003,FRA,books,more_500,freq_se,0.576382096640193
2003,GBR,books,0_10,freq,9.47646557942545
2003,GBR,books,0_10,freq_se,0.540536556256567
2003,GBR,books,101_200,freq,18.2773080007217
2003,GBR,books,101_200,freq_se,0.554827329706206
2003,GBR,books,11_25,freq,13.6369002164718
2003,GBR,books,11_25,freq_se,0.51682941637683
2003,GBR,books,201_500,freq,17.9972633654601
2003,GBR,books,201_500,freq_se,0.682649565399856
2003,GBR,books,26_100,freq,30.4216310923748
2003,GBR,books,26_100,freq_se,0.785981296543467
2003,GBR,books,more_500,freq,10.190431745546
2003,GBR,books,more_500,freq_se,0.684583784392019
2003,GRC,books,0_10,freq,7.28345255458299
2003,GRC,books,0_10,freq_se,0.514211439856657
2003,GRC,books,101_200,freq,17.3697017822848
2003,GRC,books,101_200,freq_se,0.562217121085133
2003,GRC,books,11_25,freq,22.0954733862145
2003,GRC,books,11_25,freq_se,0.869395017819468
2003,GRC,books,201_500,freq,10.5178539762568
2003,GRC,books,201_500,freq_se,0.755359499710349
2003,GRC,books,26_100,freq,35.4821401110791
2003,GRC,books,26_100,freq_se,0.923517056839365
2003,GRC,books,more_500,freq,7.25137818958194
2003,GRC,books,more_500,freq_se,0.539592683507053
2003,HUN,books,0_10,freq,4.11210536701998
2003,HUN,books,0_10,freq_se,0.325447599262161
2003,HUN,books,101_200,freq,22.2946148260471
2003,HUN,books,101_200,freq_se,0.64958490596711
2003,HUN,books,11_25,freq,9.65124452110982
2003,HUN,books,11_25,freq_se,0.55215776432233
2003,HUN,books,201_500,freq,20.5619596839601
2003,HUN,books,201_500,freq_se,0.697960738638916
2003,HUN,books,26_100,freq,26.9149296034769
2003,HUN,books,26_100,freq_se,0.8228655514584
2003,HUN,books,more_500,freq,16.4651459983862
2003,HUN,books,more_500,freq_se,0.70158313585504
2003,IRL,books,0_10,freq,10.5055200964086
2003,IRL,books,0_10,freq_se,0.735676113524208
2003,IRL,books,101_200,freq,19.9014039667532
2003,IRL,books,101_200,freq_se,0.717223634633929
2003,IRL,books,11_25,freq,15.0773327150631
2003,IRL,books,11_25,freq_se,0.661674705197607
