year,area,concept,classics,metric,value
2000,PRT,reading_score,yes,mean_se,3.76729689950498
2000,SWE,math_score,no,mean,483.224665789125
2000,SWE,math_score,no,mean_se,8.59161732979295
2000,SWE,math_score,yes,mean,530.340678073247
2000,SWE,math_score,yes,mean_se,7.21668946723696
2000,SWE,reading_score,no,mean,490.746528773572
2000,SWE,reading_score,no,mean_se,2.52630521506645
2000,SWE,reading_score,yes,mean,537.055309057662
2000,SWE,reading_score,yes,mean_se,2.29517351448288
2000,EU28,math_score,no,mean,469.341905456906
2000,EU28,math_score,no,mean_se,1.93845481454157
2000,EU28,math_score,yes,mean,510.089844784206
2000,EU28,math_score,yes,mean_se,1.51719247610825
2000,EU28,reading_score,no,mean,463.762870390179
2000,EU28,reading_score,no,mean_se,1.28667795539551
2000,EU28,reading_score,yes,mean,517.462930272049
2000,EU28,reading_score,yes,mean_se,1.03605034681606
2003,AUT,math_score,no,mean,483.617129375665
2003,AUT,math_score,no,mean_se,8.548715817922
2003,AUT,math_score,yes,mean,553.648111674387
2003,AUT,math_score,yes,mean_se,13.1001063663729
2003,AUT,reading_score,no,mean,465.22597264971
2003,AUT,reading_score,no,mean_se,3.14610889145607
2003,AUT,reading_score,yes,mean,547.924479242518
2003,AUT,reading_score,yes,mean_se,3.80714316890622
2003,BEL,math_score,no,mean,512.599491502938
2003,BEL,math_score,no,mean_se,7.77327765737872
2003,BEL,math_score,yes,mean,569.727449864563
2003,BEL,math_score,yes,mean_se,7.32190443674561
2003,BEL,reading_score,no,mean,488.861413122456
2003,BEL,reading_score,no,mean_se,3.31713382327911
2003,BEL,reading_score,yes,mean,550.010697494243
2003,BEL,reading_score,yes,mean_se,2.63103477797257
2003,CZE,math_score,no,mean,485.010367723362
2003,CZE,math_score,no,mean_se,18.1004971636217
2003,CZE,math_score,yes,mean,535.816806194799
2003,CZE,math_score,yes,mean_se,8.83823886055049
2003,CZE,reading_score,no,mean,458.113069242275
2003,CZE,reading_score,no,mean_se,3.97681020493967
2003,CZE,reading_score,yes,mean,509.145734451873
2003,CZE,reading_score,yes,mean_se,2.67094378832992
2003,DEU,math_score,no,mean,485.751101389157
2003,DEU,math_score,no,mean_se,12.9885454029747
2003,DEU,math_score,yes,mean,551.732100350788
2003,DEU,math_score,yes,mean_se,9.5851725907125
2003,DEU,reading_score,no,mean,474.575089278062
