year,area,concept,lonely,metric,value
2000,HUN,math_score,disagree,mean_se,31.3934613293202
2000,HUN,math_score,strongly_agree,mean,421.225583968438
2000,HUN,math_score,strongly_agree,mean_se,349.676864688387
2000,HUN,math_score,strongly_disagree,mean,499.675783932633
2000,HUN,math_score,strongly_disagree,mean_se,15.8602317638263
2000,HUN,reading_score,agree,mean,447.133897555055
2000,HUN,reading_score,agree,mean_se,7.29802491599762
2000,HUN,reading_score,disagree,mean,474.5317944101
2000,HUN,reading_score,disagree,mean_se,4.93489484100492
2000,HUN,reading_score,strongly_agree,mean,432.016074401047
2000,HUN,reading_score,strongly_agree,mean_se,13.8434664010683
2000,HUN,reading_score,strongly_disagree,mean,492.293975506288
2000,HUN,reading_score,strongly_disagree,mean_se,3.58430467269816
2000,IRL,math_score,agree,mean,506.295447223948
2000,IRL,math_score,agree,mean_se,60.1539648555657
2000,IRL,math_score,disagree,mean,506.284026864831
2000,IRL,math_score,disagree,mean_se,11.8884985380119
2000,IRL,math_score,strongly_agree,mean,511.099627897326
2000,IRL,math_score,strongly_agree,mean_se,192.184556512726
2000,IRL,math_score,strongly_disagree,mean,502.769690191068
2000,IRL,math_score,strongly_disagree,mean_se,10.4282528616787
2000,IRL,reading_score,agree,mean,531.997584904346
2000,IRL,reading_score,agree,mean_se,6.73856265618154
2000,IRL,reading_score,disagree,mean,531.168550915701
2000,IRL,reading_score,disagree,mean_se,3.76815718149321
2000,IRL,reading_score,strongly_agree,mean,491.9509919702
2000,IRL,reading_score,strongly_agree,mean_se,13.7538899509641
2000,IRL,reading_score,strongly_disagree,mean,525.73137700095
2000,IRL,reading_score,strongly_disagree,mean_se,3.4875527953197
2000,ITA,math_score,agree,mean,445.43924388424
2000,ITA,math_score,agree,mean_se,24.5415152447869
2000,ITA,math_score,disagree,mean,467.182560612641
2000,ITA,math_score,disagree,mean_se,8.2747645073542
2000,ITA,math_score,strongly_agree,mean,412.341275816403
2000,ITA,math_score,strongly_agree,mean_se,307.600606305264
2000,ITA,math_score,strongly_disagree,mean,456.643553351846
2000,ITA,math_score,strongly_disagree,mean_se,15.1514150798734
2000,ITA,reading_score,agree,mean,477.619133699747
2000,ITA,reading_score,agree,mean_se,4.37978293423996
2000,ITA,reading_score,disagree,mean,497.324726333025
2000,ITA,reading_score,disagree,mean_se,2.79632999854382
2000,ITA,reading_score,strongly_agree,mean,453.514822011456
2000,ITA,reading_score,strongly_agree,mean_se,8.47839246697264
2000,ITA,reading_score,strongly_disagree,mean,487.136736970628
2000,ITA,reading_score,strongly_disagree,mean_se,3.87302133177177
2000,LUX,math_score,agree,mean,441.460137029181
2000,LUX,math_score,agree,mean_se,41.8550622899331
2000,LUX,math_score,disagree,mean,449.682084929011
2000,LUX,math_score,disagree,mean_se,14.6446938186795
2000,LUX,math_score,strongly_agree,mean,427.728203734355
2000,LUX,math_score,strongly_agree,mean_se,111.521319560258
2000,LUX,math_score,strongly_disagree,mean,459.271815156846
2000,LUX,math_score,strongly_disagree,mean_se,6.89971848634404
2000,LUX,reading_score,agree,mean,427.102265174395
2000,LUX,reading_score,agree,mean_se,6.19092554120378
2000,LUX,reading_score,disagree,mean,446.327027286552
2000,LUX,reading_score,disagree,mean_se,3.1147617407295
2000,LUX,reading_score,strongly_agree,mean,413.137916870099
2000,LUX,reading_score,strongly_agree,mean_se,8.8555174674192
2000,LUX,reading_score,strongly_disagree,mean,455.20471611227
2000,LUX,reading_score,strongly_disagree,mean_se,2.0357460536886
2000,LVA,math_score,agree,mean,447.952669883657
2000,LVA,math_score,agree,mean_se,91.5986985455882
2000,LVA,math_score,disagree,mean,466.752570842941
2000,LVA,math_score,disagree,mean_se,29.7081958382121
2000,LVA,math_score,strongly_agree,mean,439.539738400081
2000,LVA,math_score,strongly_agree,mean_se,137.194492765475
2000,LVA,math_score,strongly_disagree,mean,472.503456520856
2000,LVA,math_score,strongly_disagree,mean_se,27.1841382203178
2000,LVA,reading_score,agree,mean,448.601315969347
2000,LVA,reading_score,agree,mean_se,7.91581134033593
2000,LVA,reading_score,disagree,mean,462.384672036489
2000,LVA,reading_score,disagree,mean_se,6.35886269418824
2000,LVA,reading_score,strongly_agree,mean,431.377357360916
2000,LVA,reading_score,strongly_agree,mean_se,12.7887348789656
2000,LVA,reading_score,strongly_disagree,mean,465.005344323383
2000,LVA,reading_score,strongly_disagree,mean_se,5.43649711054163
2000,NLD,math_score,agree,mean,547.728919591754
2000,NLD,math_score,agree,mean_se,259.882498711177
2000,NLD,math_score,disagree,mean,561.042650270994
2000,NLD,math_score,disagree,mean_se,26.9724225182259
2000,NLD,math_score,strongly_agree,mean,502.768763785845
2000,NLD,math_score,strongly_agree,mean_se,1069.42443974517
2000,NLD,math_score,strongly_disagree,mean,567.174176801253
2000,NLD,math_score,strongly_disagree,mean_se,14.4111735464965
2000,NLD,reading_score,agree,mean,503.652792850636
2000,NLD,reading_score,agree,mean_se,17.1263745157719
2000,NLD,reading_score,disagree,mean,530.488567103216
2000,NLD,reading_score,disagree,mean_se,4.19750396937179
2000,NLD,reading_score,strongly_agree,mean,424.147113032225
2000,NLD,reading_score,strongly_agree,mean_se,26.5520883336165
2000,NLD,reading_score,strongly_disagree,mean,536.718572371998
2000,NLD,reading_score,strongly_disagree,mean_se,3.28904651400443
2000,POL,math_score,agree,mean,455.284804801015
2000,POL,math_score,agree,mean_se,122.441602553352
2000,POL,math_score,disagree,mean,477.309650605521
2000,POL,math_score,disagree,mean_se,32.1700515455373
2000,POL,math_score,strongly_agree,mean,430.171515194014
2000,POL,math_score,strongly_agree,mean_se,179.865435676165
2000,POL,math_score,strongly_disagree,mean,483.02706704012
2000,POL,math_score,strongly_disagree,mean_se,38.6770642104637
2000,POL,reading_score,agree,mean,459.099837563269
2000,POL,reading_score,agree,mean_se,8.25572457057937
2000,POL,reading_score,disagree,mean,485.504759192234
2000,POL,reading_score,disagree,mean_se,5.13222799032079
2000,POL,reading_score,strongly_agree,mean,439.129361084062
2000,POL,reading_score,strongly_agree,mean_se,11.0351571276896
2000,POL,reading_score,strongly_disagree,mean,493.529924395383
2000,POL,reading_score,strongly_disagree,mean_se,4.60476622731198
2000,PRT,math_score,agree,mean,425.510128210898
2000,PRT,math_score,agree,mean_se,91.0499104247327
2000,PRT,math_score,disagree,mean,451.677156221558
2000,PRT,math_score,disagree,mean_se,22.7362320931621
2000,PRT,math_score,strongly_agree,mean,413.997255283503
2000,PRT,math_score,strongly_agree,mean_se,271.788782153378
2000,PRT,math_score,strongly_disagree,mean,463.010575868716
2000,PRT,math_score,strongly_disagree,mean_se,19.9160939865769
2000,PRT,reading_score,agree,mean,427.579302493833
2000,PRT,reading_score,agree,mean_se,9.94182752310401
2000,PRT,reading_score,disagree,mean,470.447824142773
2000,PRT,reading_score,disagree,mean_se,4.86421417689056
2000,PRT,reading_score,strongly_agree,mean,416.198386211311
2000,PRT,reading_score,strongly_agree,mean_se,14.1547025519393
2000,PRT,reading_score,strongly_disagree,mean,481.223628218696
2000,PRT,reading_score,strongly_disagree,mean_se,4.30149015260915
2000,SWE,math_score,agree,mean,496.033442302281
2000,SWE,math_score,agree,mean_se,49.8680559973009
2000,SWE,math_score,disagree,mean,519.09620516552
2000,SWE,math_score,disagree,mean_se,14.9853346737135
2000,SWE,math_score,strongly_agree,mean,477.019490521022
2000,SWE,math_score,strongly_agree,mean_se,180.250304181468
2000,SWE,math_score,strongly_disagree,mean,509.194524110116
2000,SWE,math_score,strongly_disagree,mean_se,7.48467308094708
2000,SWE,reading_score,agree,mean,511.232080910443
2000,SWE,reading_score,agree,mean_se,6.40769623746232
2000,SWE,reading_score,disagree,mean,526.778308976559
2000,SWE,reading_score,disagree,mean_se,3.25414555884665
2000,SWE,reading_score,strongly_agree,mean,483.496058628605
2000,SWE,reading_score,strongly_agree,mean_se,13.6016248926171
2000,SWE,reading_score,strongly_disagree,mean,514.605145404751
2000,SWE,reading_score,strongly_disagree,mean_se,2.35071726807856
2000,EU28,math_score,agree,mean,471.413059176967
2000,EU28,math_score,agree,mean_se,10.2381547216212
2000,EU28,math_score,disagree,mean,497.59456162763
2000,EU28,math_score,disagree,mean_se,2.45827636438108
2000,EU28,math_score,strongly_agree,mean,442.451090479077
2000,EU28,math_score,strongly_agree,mean_se,34.2428111267087
2000,EU28,math_score,strongly_disagree,mean,499.564874576668
2000,EU28,math_score,strongly_disagree,mean_se,1.32367351433573
2000,EU28,reading_score,agree,mean,477.228573338851
2000,EU28,reading_score,agree,mean_se,2.67922287893907
2000,EU28,reading_score,disagree,mean,501.954276052864
2000,EU28,reading_score,disagree,mean_se,1.38978944752157
2000,EU28,reading_score,strongly_agree,mean,451.321282682743
2000,EU28,reading_score,strongly_agree,mean_se,4.62258079053652
2000,EU28,reading_score,strongly_disagree,mean,500.936814451678
2000,EU28,reading_score,strongly_disagree,mean_se,1.091018139189
2003,AUT,math_score,agree,mean,495.804856236758
2003,AUT,math_score,agree,mean_se,39.4735012746439
2003,AUT,math_score,disagree,mean,512.316696183289
2003,AUT,math_score,disagree,mean_se,23.5805636916095
2003,AUT,math_score,strongly_agree,mean,453.837899227681
2003,AUT,math_score,strongly_agree,mean_se,119.312398105524
2003,AUT,math_score,strongly_disagree,mean,511.986731576238
2003,AUT,math_score,strongly_disagree,mean_se,10.1298143366694
2003,AUT,reading_score,agree,mean,479.289726583255
2003,AUT,reading_score,agree,mean_se,8.9285566852363
2003,AUT,reading_score,disagree,mean,495.109912740065
2003,AUT,reading_score,disagree,mean_se,5.39196441773762
2003,AUT,reading_score,strongly_agree,mean,434.759885895234
2003,AUT,reading_score,strongly_agree,mean_se,12.6126409905362
2003,AUT,reading_score,strongly_disagree,mean,499.066758675124
2003,AUT,reading_score,strongly_disagree,mean_se,3.44521742394816
2003,BEL,math_score,agree,mean,517.048657682094
2003,BEL,math_score,agree,mean_se,78.5895682765857
2003,BEL,math_score,disagree,mean,540.375901228182
2003,BEL,math_score,disagree,mean_se,8.4841940536544
2003,BEL,math_score,strongly_agree,mean,469.483412403697
2003,BEL,math_score,strongly_agree,mean_se,177.708564177122
2003,BEL,math_score,strongly_disagree,mean,537.341293088847
2003,BEL,math_score,strongly_disagree,mean_se,5.80427123496784
2003,BEL,reading_score,agree,mean,495.355719408581
2003,BEL,reading_score,agree,mean_se,8.95255516300555
2003,BEL,reading_score,disagree,mean,515.625217920829
2003,BEL,reading_score,disagree,mean_se,3.1448613574298
2003,BEL,reading_score,strongly_agree,mean,442.599968849579
2003,BEL,reading_score,strongly_agree,mean_se,15.9845066881382
2003,BEL,reading_score,strongly_disagree,mean,517.332446509518
2003,BEL,reading_score,strongly_disagree,mean_se,2.80807398385528
2003,CZE,math_score,agree,mean,504.844567542777
2003,CZE,math_score,agree,mean_se,56.8925267004138
2003,CZE,math_score,disagree,mean,520.797740509734
2003,CZE,math_score,disagree,mean_se,10.2111833311349
2003,CZE,math_score,strongly_agree,mean,480.739442812814
2003,CZE,math_score,strongly_agree,mean_se,248.381353659185
2003,CZE,math_score,strongly_disagree,mean,535.876938946097
2003,CZE,math_score,strongly_disagree,mean_se,11.4802315443163
2003,CZE,reading_score,agree,mean,478.326797725012
2003,CZE,reading_score,agree,mean_se,8.21602365945077
2003,CZE,reading_score,disagree,mean,493.300041873876
2003,CZE,reading_score,disagree,mean_se,2.97817058992088
2003,CZE,reading_score,strongly_agree,mean,452.150492469133
2003,CZE,reading_score,strongly_agree,mean_se,14.5792037845922
2003,CZE,reading_score,strongly_disagree,mean,509.689098171632
2003,CZE,reading_score,strongly_disagree,mean_se,3.06918005557534
2003,DEU,math_score,agree,mean,506.466159746904
2003,DEU,math_score,agree,mean_se,55.7442783497004
2003,DEU,math_score,disagree,mean,526.471316300547
2003,DEU,math_score,disagree,mean_se,17.0518296456504
2003,DEU,math_score,strongly_agree,mean,473.946742784119
2003,DEU,math_score,strongly_agree,mean_se,131.540396258479
2003,DEU,math_score,strongly_disagree,mean,512.820105125764
2003,DEU,math_score,strongly_disagree,mean_se,12.533494585475
2003,DEU,reading_score,agree,mean,486.188990259821
2003,DEU,reading_score,agree,mean_se,8.03370092143376
2003,DEU,reading_score,disagree,mean,510.559533931023
2003,DEU,reading_score,disagree,mean_se,4.23798979979093
2003,DEU,reading_score,strongly_agree,mean,449.509318785911
2003,DEU,reading_score,strongly_agree,mean_se,12.5831946956078
2003,DEU,reading_score,strongly_disagree,mean,506.074112568982
2003,DEU,reading_score,strongly_disagree,mean_se,3.59591588152816
2003,DNK,math_score,agree,mean,515.337145912908
2003,DNK,math_score,agree,mean_se,36.2598933366065
2003,DNK,math_score,disagree,mean,519.820291549693
2003,DNK,math_score,disagree,mean_se,14.9831224123705
2003,DNK,math_score,strongly_agree,mean,510.690940897111
2003,DNK,math_score,strongly_agree,mean_se,194.221857238523
2003,DNK,math_score,strongly_disagree,mean,514.953107256565
2003,DNK,math_score,strongly_disagree,mean_se,9.03968177358557
2003,DNK,reading_score,agree,mean,491.145099482568
2003,DNK,reading_score,agree,mean_se,7.25736060363474
2003,DNK,reading_score,disagree,mean,498.234346845814
2003,DNK,reading_score,disagree,mean_se,3.78684936601717
2003,DNK,reading_score,strongly_agree,mean,484.059532069274
2003,DNK,reading_score,strongly_agree,mean_se,14.0423462534574
2003,DNK,reading_score,strongly_disagree,mean,494.180715677316
2003,DNK,reading_score,strongly_disagree,mean_se,3.08591865148274
2003,ESP,math_score,agree,mean,478.178255528457
2003,ESP,math_score,agree,mean_se,81.6745899968999
2003,ESP,math_score,disagree,mean,489.152460186603
2003,ESP,math_score,disagree,mean_se,6.98363836991462
2003,ESP,math_score,strongly_agree,mean,445.834119746627
2003,ESP,math_score,strongly_agree,mean_se,134.334631440252
2003,ESP,math_score,strongly_disagree,mean,487.293779028132
2003,ESP,math_score,strongly_disagree,mean_se,6.55074676404804
2003,ESP,reading_score,agree,mean,476.515906758872
