year,area,concept,artworks,metric,value
2003,DEU,reading_score,no,mean_se,3.93965264686115
2003,DEU,reading_score,yes,mean,515.683330400081
2003,DEU,reading_score,yes,mean_se,3.82606071148542
2003,DNK,math_score,no,mean,490.576669379839
2003,DNK,math_score,no,mean_se,8.78531664824799
2003,DNK,math_score,yes,mean,535.773664240329
2003,DNK,math_score,yes,mean_se,7.28338771056347
2003,DNK,reading_score,no,mean,469.717851518903
2003,DNK,reading_score,no,mean_se,3.43342887943251
2003,DNK,reading_score,yes,mean,513.892992917076
2003,DNK,reading_score,yes,mean_se,2.82733556362584
2003,ESP,math_score,no,mean,471.140325527669
2003,ESP,math_score,no,mean_se,6.15464893748717
2003,ESP,math_score,yes,mean,503.83696974039
2003,ESP,math_score,yes,mean_se,7.50356357883391
2003,ESP,reading_score,no,mean,468.61949691281
2003,ESP,reading_score,no,mean_se,2.70570386186281
2003,ESP,reading_score,yes,mean,497.650640353347
2003,ESP,reading_score,yes,mean_se,3.16452654273541
2003,FIN,math_score,no,mean,528.500837829769
2003,FIN,math_score,no,mean_se,5.52918651879352
2003,FIN,math_score,yes,mean,554.741810987617
2003,FIN,math_score,yes,mean_se,4.20594257576226
2003,FIN,reading_score,no,mean,523.764261964806
2003,FIN,reading_score,no,mean_se,2.23358456753086
2003,FIN,reading_score,yes,mean,554.903615089615
2003,FIN,reading_score,yes,mean_se,1.85775113249153
2003,FRA,math_score,no,mean,500.992193521795
2003,FRA,math_score,no,mean_se,7.5249695961159
2003,FRA,math_score,yes,mean,533.589538963776
2003,FRA,math_score,yes,mean_se,10.3911592922564
2003,FRA,reading_score,no,mean,484.418792488677
2003,FRA,reading_score,no,mean_se,3.06630284550012
2003,FRA,reading_score,yes,mean,523.443086393367
2003,FRA,reading_score,yes,mean_se,3.6856815349879
2003,GBR,math_score,no,mean,490.235108045318
2003,GBR,math_score,no,mean_se,5.64267669245907
2003,GBR,math_score,yes,mean,524.898476969799
2003,GBR,math_score,yes,mean_se,12.2238407140989
2003,GBR,reading_score,no,mean,486.955517283389
2003,GBR,reading_score,no,mean_se,2.51078330549612
2003,GBR,reading_score,yes,mean,526.684678049309
2003,GBR,reading_score,yes,mean_se,3.39954200673845
2003,GRC,math_score,no,mean,427.160495259545
2003,GRC,math_score,no,mean_se,12.1679463344315
2003,GRC,math_score,yes,mean,460.981529623283
2003,GRC,math_score,yes,mean_se,19.8048604544388
2003,GRC,reading_score,no,mean,455.144246579025
2003,GRC,reading_score,no,mean_se,4.12256405291345
2003,GRC,reading_score,yes,mean,488.546573402209
2003,GRC,reading_score,yes,mean_se,4.56414367331067
2003,HUN,math_score,no,mean,477.006118408142
2003,HUN,math_score,no,mean_se,9.53237872456029
2003,HUN,math_score,yes,mean,511.703579854673
2003,HUN,math_score,yes,mean_se,11.3630111166704
2003,HUN,reading_score,no,mean,466.444088456648
2003,HUN,reading_score,no,mean_se,2.70349576121444
2003,HUN,reading_score,yes,mean,505.557906611858
2003,HUN,reading_score,yes,mean_se,3.2286384845697
2003,IRL,math_score,no,mean,492.651226626782
2003,IRL,math_score,no,mean_se,6.86250581201842
2003,IRL,math_score,yes,mean,514.68016505621
2003,IRL,math_score,yes,mean_se,8.33756287681341
2003,IRL,reading_score,no,mean,502.146095518928
2003,IRL,reading_score,no,mean_se,2.72974861593273
2003,IRL,reading_score,yes,mean,531.239705419232
2003,IRL,reading_score,yes,mean_se,3.45881066043752
2003,ITA,math_score,no,mean,450.189848921513
2003,ITA,math_score,no,mean_se,11.8275371857112
2003,ITA,math_score,yes,mean,483.828716021975
2003,ITA,math_score,yes,mean_se,9.28591162448711
2003,ITA,reading_score,no,mean,456.829722935328
2003,ITA,reading_score,no,mean_se,3.80611628063609
2003,ITA,reading_score,yes,mean,495.103902956269
2003,ITA,reading_score,yes,mean_se,2.71526455406114
2003,LUX,math_score,no,mean,474.001974490884
2003,LUX,math_score,no,mean_se,4.0615761690282
2003,LUX,math_score,yes,mean,507.728280683058
2003,LUX,math_score,yes,mean_se,2.69992935914754
2003,LUX,reading_score,no,mean,457.229811882835
2003,LUX,reading_score,no,mean_se,2.76181018169769
2003,LUX,reading_score,yes,mean,496.658501296695
2003,LUX,reading_score,yes,mean_se,1.82531035997265
2003,LVA,math_score,no,mean,475.2799295725
2003,LVA,math_score,no,mean_se,16.6334819361083
2003,LVA,math_score,yes,mean,492.485499151059
2003,LVA,math_score,yes,mean_se,13.3664682547826
2003,LVA,reading_score,no,mean,480.975121338497
2003,LVA,reading_score,no,mean_se,4.35322115824379
2003,LVA,reading_score,yes,mean,501.277759917905
2003,LVA,reading_score,yes,mean_se,3.67039231421517
2003,NLD,math_score,no,mean,524.239130427131
2003,NLD,math_score,no,mean_se,15.1463703117614
2003,NLD,math_score,yes,mean,559.518900492287
2003,NLD,math_score,yes,mean_se,8.06014545478645
2003,NLD,reading_score,no,mean,500.949894894728
2003,NLD,reading_score,no,mean_se,3.85667264933485
2003,NLD,reading_score,yes,mean,531.714849988319
2003,NLD,reading_score,yes,mean_se,2.76415344578521
2003,POL,math_score,no,mean,485.209006000028
2003,POL,math_score,no,mean_se,8.24031471541583
2003,POL,math_score,yes,mean,498.137537805911
2003,POL,math_score,yes,mean_se,10.353754579299
2003,POL,reading_score,no,mean,487.678408965801
2003,POL,reading_score,no,mean_se,3.25528041553148
2003,POL,reading_score,yes,mean,510.243748489839
2003,POL,reading_score,yes,mean_se,3.5562705922388
2003,PRT,math_score,no,mean,452.430565506482
2003,PRT,math_score,no,mean_se,13.3311937352486
2003,PRT,math_score,yes,mean,496.132836434916
2003,PRT,math_score,yes,mean_se,12.1867919469539
2003,PRT,reading_score,no,mean,465.704622611402
2003,PRT,reading_score,no,mean_se,4.02881870792393
2003,PRT,reading_score,yes,mean,504.863496318561
2003,PRT,reading_score,yes,mean_se,3.75771587241463
2003,SVK,math_score,no,mean,484.700228320835
2003,SVK,math_score,no,mean_se,17.4461417959903
2003,SVK,math_score,yes,mean,510.009462386094
2003,SVK,math_score,yes,mean_se,9.32176576738896
2003,SVK,reading_score,no,mean,451.003159747624
2003,SVK,reading_score,no,mean_se,4.01274634675261
2003,SVK,reading_score,yes,mean,485.114919759304
2003,SVK,reading_score,yes,mean_se,2.84399526800931
2003,SWE,math_score,no,mean,476.779114905724
2003,SWE,math_score,no,mean_se,12.8140689744899
2003,SWE,math_score,yes,mean,524.463928337644
2003,SWE,math_score,yes,mean_se,6.74102503154444
2003,SWE,reading_score,no,mean,481.161308067482
2003,SWE,reading_score,no,mean_se,3.82589731550031
2003,SWE,reading_score,yes,mean,530.591643053393
2003,SWE,reading_score,yes,mean_se,2.48701762988887
2003,EU28,math_score,no,mean,487.152620390037
2003,EU28,math_score,no,mean_se,1.34030107695145
2003,EU28,math_score,yes,mean,517.376413910495
2003,EU28,math_score,yes,mean_se,1.2989082698076
2003,EU28,reading_score,no,mean,480.155272121043
2003,EU28,reading_score,no,mean_se,1.21577719907093
2003,EU28,reading_score,yes,mean,515.004516329725
2003,EU28,reading_score,yes,mean_se,1.15786419334409
2006,AUT,math_score,no,mean,490.573430539307
2006,AUT,math_score,no,mean_se,29.7810820812919
2006,AUT,math_score,yes,mean,512.764135372993
2006,AUT,math_score,yes,mean_se,11.3144497008422
2006,AUT,reading_score,no,mean,465.326855286429
2006,AUT,reading_score,no,mean_se,5.72252906433877
2006,AUT,reading_score,yes,mean,503.295483027183
2006,AUT,reading_score,yes,mean_se,3.88004081055568
2006,BEL,math_score,no,mean,498.070083367117
2006,BEL,math_score,no,mean_se,9.33445326446935
2006,BEL,math_score,yes,mean,542.258925291705
2006,BEL,math_score,yes,mean_se,7.76077674280756
2006,BEL,reading_score,no,mean,476.55536260462
2006,BEL,reading_score,no,mean_se,3.87666348638721
2006,BEL,reading_score,yes,mean,525.097431953296
2006,BEL,reading_score,yes,mean_se,2.78227296844792
2006,BGR,math_score,no,mean,395.801369371745
2006,BGR,math_score,no,mean_se,37.334151859867
2006,BGR,math_score,yes,mean,429.145089166978
2006,BGR,math_score,yes,mean_se,38.2426531395975
2006,BGR,reading_score,no,mean,377.292402770126
2006,BGR,reading_score,no,mean_se,7.10050293321847
2006,BGR,reading_score,yes,mean,423.403501316676
2006,BGR,reading_score,yes,mean_se,6.47238567570782
2006,CZE,math_score,no,mean,497.556840338129
2006,CZE,math_score,no,mean_se,17.1422346074251
2006,CZE,math_score,yes,mean,525.038748105839
2006,CZE,math_score,yes,mean_se,13.4487201285339
2006,CZE,reading_score,no,mean,467.721004787151
2006,CZE,reading_score,no,mean_se,4.95368865301143
2006,CZE,reading_score,yes,mean,500.855978259262
2006,CZE,reading_score,yes,mean_se,4.15957097828896
2006,DEU,math_score,no,mean,492.075963687419
2006,DEU,math_score,no,mean_se,15.2158738685612
2006,DEU,math_score,yes,mean,516.166360402191
2006,DEU,math_score,yes,mean_se,14.4136862736365
2006,DEU,reading_score,no,mean,475.003444316842
2006,DEU,reading_score,no,mean_se,5.2803354812746
2006,DEU,reading_score,yes,mean,511.47243902412
2006,DEU,reading_score,yes,mean_se,4.20265202207503
2006,DNK,math_score,no,mean,492.137907379951
2006,DNK,math_score,no,mean_se,12.2710133023697
2006,DNK,math_score,yes,mean,523.79067537615
2006,DNK,math_score,yes,mean_se,6.40893544758632
2006,DNK,reading_score,no,mean,467.727454126566
2006,DNK,reading_score,no,mean_se,4.44025045057943
2006,DNK,reading_score,yes,mean,506.186887652799
2006,DNK,reading_score,yes,mean_se,3.04713508332122
2006,ESP,math_score,no,mean,468.407036602584
2006,ESP,math_score,no,mean_se,4.73299554790877
2006,ESP,math_score,yes,mean,494.543868035615
2006,ESP,math_score,yes,mean_se,6.84581231413661
2006,ESP,reading_score,no,mean,449.583613153559
2006,ESP,reading_score,no,mean_se,2.31204402778682
2006,ESP,reading_score,yes,mean,474.1749358705
2006,ESP,reading_score,yes,mean_se,2.56980572451504
2006,EST,math_score,no,mean,509.261924674247
2006,EST,math_score,no,mean_se,9.58678963355249
2006,EST,math_score,yes,mean,518.074082367121
2006,EST,math_score,yes,mean_se,8.58514697139035
2006,EST,reading_score,no,mean,495.216526693942
2006,EST,reading_score,no,mean_se,3.612787860583
2006,EST,reading_score,yes,mean,505.434294312292
2006,EST,reading_score,yes,mean_se,3.05007626983915
2006,FIN,math_score,no,mean,531.792623802328
2006,FIN,math_score,no,mean_se,10.0098896673893
2006,FIN,math_score,yes,mean,552.426077596287
2006,FIN,math_score,yes,mean_se,5.39155049759937
2006,FIN,reading_score,no,mean,520.74281427737
2006,FIN,reading_score,no,mean_se,3.233400216734
2006,FIN,reading_score,yes,mean,555.349403838076
2006,FIN,reading_score,yes,mean_se,2.29212511074417
2006,FRA,math_score,no,mean,481.324671006451
2006,FRA,math_score,no,mean_se,10.1499627464967
2006,FRA,math_score,yes,mean,519.990518017544
2006,FRA,math_score,yes,mean_se,13.9579535312227
2006,FRA,reading_score,no,mean,470.855620908085
2006,FRA,reading_score,no,mean_se,4.68772606635836
2006,FRA,reading_score,yes,mean,514.659284536326
2006,FRA,reading_score,yes,mean_se,4.17972085437096
