year,area,concept,escs,level,metric,value
2000,BEL,math_score,quart_1,level_2,freq,11.6115584646307
2000,BEL,math_score,quart_1,level_2,freq_se,1.13044244099833
2000,BEL,math_score,quart_1,level_3,freq,11.7636176871029
2000,BEL,math_score,quart_1,level_3,freq_se,0.954192076011388
2000,BEL,math_score,quart_1,level_4,freq,9.65248486583488
2000,BEL,math_score,quart_1,level_4,freq_se,0.877975949057132
2000,BEL,math_score,quart_1,level_5,freq,3.50743238871099
2000,BEL,math_score,quart_1,level_5,freq_se,0.340243847587574
2000,BEL,math_score,quart_1,level_6,freq,0.918364901333678
2000,BEL,math_score,quart_1,level_6,freq_se,0.0632584323982456
2000,BEL,math_score,quart_2,below_level_1a,freq,5.17328319743713
2000,BEL,math_score,quart_2,below_level_1a,freq_se,2.09545331146973
2000,BEL,math_score,quart_2,level_1a,freq,7.34519710953803
2000,BEL,math_score,quart_2,level_1a,freq_se,0.659409118621525
2000,BEL,math_score,quart_2,level_2,freq,10.9771296214949
2000,BEL,math_score,quart_2,level_2,freq_se,0.625398252697111
2000,BEL,math_score,quart_2,level_3,freq,11.969648276248
2000,BEL,math_score,quart_2,level_3,freq_se,0.684720467474873
2000,BEL,math_score,quart_2,level_4,freq,12.1688039131375
2000,BEL,math_score,quart_2,level_4,freq_se,0.792869004609099
2000,BEL,math_score,quart_2,level_5,freq,7.06620120696293
2000,BEL,math_score,quart_2,level_5,freq_se,0.415428440161426
2000,BEL,math_score,quart_2,level_6,freq,2.05033678687583
2000,BEL,math_score,quart_2,level_6,freq_se,0.117670023069457
2000,BEL,math_score,quart_3,below_level_1a,freq,3.74512372022811
2000,BEL,math_score,quart_3,below_level_1a,freq_se,0.445360436898039
2000,BEL,math_score,quart_3,level_1a,freq,5.5437458903187
2000,BEL,math_score,quart_3,level_1a,freq_se,0.372578423303329
2000,BEL,math_score,quart_3,level_2,freq,7.87010116398746
2000,BEL,math_score,quart_3,level_2,freq_se,0.492095331790176
2000,BEL,math_score,quart_3,level_3,freq,12.3681577175472
2000,BEL,math_score,quart_3,level_3,freq_se,0.62533286262677
2000,BEL,math_score,quart_3,level_4,freq,14.6437220327705
2000,BEL,math_score,quart_3,level_4,freq_se,0.939946009537101
2000,BEL,math_score,quart_3,level_5,freq,9.92854256242921
2000,BEL,math_score,quart_3,level_5,freq_se,0.431354495345932
2000,BEL,math_score,quart_3,level_6,freq,3.18420204565449
2000,BEL,math_score,quart_3,level_6,freq_se,0.282987189183422
2000,BEL,math_score,quart_4,below_level_1a,freq,1.40817525993504
2000,BEL,math_score,quart_4,below_level_1a,freq_se,0.164376966563075
2000,BEL,math_score,quart_4,level_1a,freq,1.95802751625746
2000,BEL,math_score,quart_4,level_1a,freq_se,0.153959905282413
2000,BEL,math_score,quart_4,level_2,freq,4.46475544393323
2000,BEL,math_score,quart_4,level_2,freq_se,0.221708587908952
2000,BEL,math_score,quart_4,level_3,freq,12.8069218420381
2000,BEL,math_score,quart_4,level_3,freq_se,0.696783378153101
2000,BEL,math_score,quart_4,level_4,freq,15.5568646849167
2000,BEL,math_score,quart_4,level_4,freq_se,0.623487784557075
2000,BEL,math_score,quart_4,level_5,freq,14.6621554735242
2000,BEL,math_score,quart_4,level_5,freq_se,0.756666648714463
2000,BEL,math_score,quart_4,level_6,freq,4.70528993331496
2000,BEL,math_score,quart_4,level_6,freq_se,0.237422944355502
2000,BEL,reading_score,quart_1,below_level_1a,freq,16.272373705142
2000,BEL,reading_score,quart_1,below_level_1a,freq_se,7.57808562081864
2000,BEL,reading_score,quart_1,level_1a,freq,18.7335365941681
2000,BEL,reading_score,quart_1,level_1a,freq_se,3.39295920593939
2000,BEL,reading_score,quart_1,level_2,freq,22.6149621749037
2000,BEL,reading_score,quart_1,level_2,freq_se,2.17103590213681
2000,BEL,reading_score,quart_1,level_3,freq,22.656513539319
2000,BEL,reading_score,quart_1,level_3,freq_se,1.56392929436946
2000,BEL,reading_score,quart_1,level_4,freq,16.9277836769275
2000,BEL,reading_score,quart_1,level_4,freq_se,5.49941043653843
2000,BEL,reading_score,quart_1,level_5,freq,7.54248410798847
2000,BEL,reading_score,quart_1,level_5,freq_se,6.25496962499028
2000,BEL,reading_score,quart_1,level_6,freq,3.03634216490418
2000,BEL,reading_score,quart_1,level_6,freq_se,3.49493954049062
2000,BEL,reading_score,quart_2,below_level_1a,freq,5.9414929797822
2000,BEL,reading_score,quart_2,below_level_1a,freq_se,6.19701582372189
2000,BEL,reading_score,quart_2,level_1a,freq,11.7726312504248
2000,BEL,reading_score,quart_2,level_1a,freq_se,5.04763749465492
2000,BEL,reading_score,quart_2,level_2,freq,18.166083740286
2000,BEL,reading_score,quart_2,level_2,freq_se,6.98685074467272
2000,BEL,reading_score,quart_2,level_3,freq,23.150246870432
2000,BEL,reading_score,quart_2,level_3,freq_se,4.74312483443525
2000,BEL,reading_score,quart_2,level_4,freq,22.9854545502312
2000,BEL,reading_score,quart_2,level_4,freq_se,9.34280411468992
2000,BEL,reading_score,quart_2,level_5,freq,12.7323403286424
2000,BEL,reading_score,quart_2,level_5,freq_se,11.1630613120859
2000,BEL,reading_score,quart_2,level_6,freq,4.76965314023478
2000,BEL,reading_score,quart_2,level_6,freq_se,4.28035080207969
2000,BEL,reading_score,quart_3,below_level_1a,freq,4.57230851894632
2000,BEL,reading_score,quart_3,below_level_1a,freq_se,4.19825685331889
2000,BEL,reading_score,quart_3,level_1a,freq,9.77983465163011
2000,BEL,reading_score,quart_3,level_1a,freq_se,4.29084500927437
2000,BEL,reading_score,quart_3,level_2,freq,15.3428276044462
2000,BEL,reading_score,quart_3,level_2,freq_se,7.94984337257134
2000,BEL,reading_score,quart_3,level_3,freq,22.5792954140372
2000,BEL,reading_score,quart_3,level_3,freq_se,6.56901093454682
2000,BEL,reading_score,quart_3,level_4,freq,24.2158385903548
2000,BEL,reading_score,quart_3,level_4,freq_se,7.74891627584916
2000,BEL,reading_score,quart_3,level_5,freq,16.7273022967698
2000,BEL,reading_score,quart_3,level_5,freq_se,12.7887659692451
2000,BEL,reading_score,quart_3,level_6,freq,5.70889473384883
2000,BEL,reading_score,quart_3,level_6,freq_se,6.08061617820193
2000,BEL,reading_score,quart_4,below_level_1a,freq,2.33785990232146
2000,BEL,reading_score,quart_4,below_level_1a,freq_se,1.31396416424481
2000,BEL,reading_score,quart_4,level_1a,freq,5.10105996045424
2000,BEL,reading_score,quart_4,level_1a,freq_se,4.21588054630234
2000,BEL,reading_score,quart_4,level_2,freq,11.5702699068208
2000,BEL,reading_score,quart_4,level_2,freq_se,10.0957436906048
2000,BEL,reading_score,quart_4,level_3,freq,22.3741916892589
2000,BEL,reading_score,quart_4,level_3,freq_se,11.7542452128912
2000,BEL,reading_score,quart_4,level_4,freq,28.9790603919379
2000,BEL,reading_score,quart_4,level_4,freq_se,9.05359207123117
2000,BEL,reading_score,quart_4,level_5,freq,21.5227316448638
2000,BEL,reading_score,quart_4,level_5,freq_se,16.0472851013666
2000,BEL,reading_score,quart_4,level_6,freq,13.0838282167279
2000,BEL,reading_score,quart_4,level_6,freq_se,12.5841666749354
2000,BGR,math_score,quart_1,below_level_1a,freq,23.7177476281854
2000,BGR,math_score,quart_1,below_level_1a,freq_se,2.13581766019317
2000,BGR,math_score,quart_1,level_1a,freq,12.4104843988382
2000,BGR,math_score,quart_1,level_1a,freq_se,0.969462340360944
2000,BGR,math_score,quart_1,level_2,freq,12.5984181407927
2000,BGR,math_score,quart_1,level_2,freq_se,0.917390950432242
2000,BGR,math_score,quart_1,level_3,freq,6.51823255964558
2000,BGR,math_score,quart_1,level_3,freq_se,0.81489338841014
2000,BGR,math_score,quart_1,level_4,freq,2.44857051914543
2000,BGR,math_score,quart_1,level_4,freq_se,0.240174737118278
2000,BGR,math_score,quart_1,level_5,freq,0.364821948896634
2000,BGR,math_score,quart_1,level_5,freq_se,0.0342563718914532
2000,BGR,math_score,quart_1,level_6,freq,0
2000,BGR,math_score,quart_1,level_6,freq_se,
2000,BGR,math_score,quart_2,below_level_1a,freq,11.2920240175228
2000,BGR,math_score,quart_2,below_level_1a,freq_se,2.20859698522794
2000,BGR,math_score,quart_2,level_1a,freq,14.2606471550544
2000,BGR,math_score,quart_2,level_1a,freq_se,1.4240601819787
2000,BGR,math_score,quart_2,level_2,freq,13.9594021742724
2000,BGR,math_score,quart_2,level_2,freq_se,1.05204628902236
2000,BGR,math_score,quart_2,level_3,freq,10.6399565450864
2000,BGR,math_score,quart_2,level_3,freq_se,1.40937492332315
2000,BGR,math_score,quart_2,level_4,freq,4.00600818658699
2000,BGR,math_score,quart_2,level_4,freq_se,0.545632693371175
2000,BGR,math_score,quart_2,level_5,freq,1.03042402932407
2000,BGR,math_score,quart_2,level_5,freq_se,0.0719079341508847
2000,BGR,math_score,quart_2,level_6,freq,0.189606712170528
2000,BGR,math_score,quart_2,level_6,freq_se,0.017966520680145
2000,BGR,math_score,quart_3,below_level_1a,freq,7.86239173340864
2000,BGR,math_score,quart_3,below_level_1a,freq_se,1.13550146742759
2000,BGR,math_score,quart_3,level_1a,freq,13.4324337272903
2000,BGR,math_score,quart_3,level_1a,freq_se,4.60449607013974
2000,BGR,math_score,quart_3,level_2,freq,13.7026183334925
2000,BGR,math_score,quart_3,level_2,freq_se,1.54811997856439
2000,BGR,math_score,quart_3,level_3,freq,14.0073547017072
2000,BGR,math_score,quart_3,level_3,freq_se,4.34537882197003
2000,BGR,math_score,quart_3,level_4,freq,5.74150153697165
2000,BGR,math_score,quart_3,level_4,freq_se,0.754565580843761
2000,BGR,math_score,quart_3,level_5,freq,1.40287331784036
2000,BGR,math_score,quart_3,level_5,freq_se,0.127010227048888
2000,BGR,math_score,quart_3,level_6,freq,0.275321080476707
2000,BGR,math_score,quart_3,level_6,freq_se,0.0208574412554502
2000,BGR,math_score,quart_4,below_level_1a,freq,4.98209936964919
2000,BGR,math_score,quart_4,below_level_1a,freq_se,0.755645512832973
2000,BGR,math_score,quart_4,level_1a,freq,6.88759645385021
2000,BGR,math_score,quart_4,level_1a,freq_se,3.06461518441198
2000,BGR,math_score,quart_4,level_2,freq,9.24082311650244
2000,BGR,math_score,quart_4,level_2,freq_se,1.35375165511047
2000,BGR,math_score,quart_4,level_3,freq,14.1850984860725
2000,BGR,math_score,quart_4,level_3,freq_se,1.13362615927031
2000,BGR,math_score,quart_4,level_4,freq,11.4753276354034
2000,BGR,math_score,quart_4,level_4,freq_se,1.91754743051328
2000,BGR,math_score,quart_4,level_5,freq,5.61654159349816
2000,BGR,math_score,quart_4,level_5,freq_se,1.23144168454765
2000,BGR,math_score,quart_4,level_6,freq,1.43009669294894
2000,BGR,math_score,quart_4,level_6,freq_se,0.226985234020154
2000,BGR,reading_score,quart_1,below_level_1a,freq,26.0845011135905
2000,BGR,reading_score,quart_1,below_level_1a,freq_se,3.99541412904158
2000,BGR,reading_score,quart_1,level_1a,freq,29.4455781564593
2000,BGR,reading_score,quart_1,level_1a,freq_se,2.29638780636347
2000,BGR,reading_score,quart_1,level_2,freq,26.4957226014176
2000,BGR,reading_score,quart_1,level_2,freq_se,2.64226082141114
2000,BGR,reading_score,quart_1,level_3,freq,17.5712442446377
2000,BGR,reading_score,quart_1,level_3,freq_se,7.54036258068303
2000,BGR,reading_score,quart_1,level_4,freq,6.58573780755654
2000,BGR,reading_score,quart_1,level_4,freq_se,6.04219630893903
2000,BGR,reading_score,quart_1,level_5,freq,1.20203357171428
2000,BGR,reading_score,quart_1,level_5,freq_se,1.51402533506629
2000,BGR,reading_score,quart_1,level_6,freq,3.07565634430175
2000,BGR,reading_score,quart_1,level_6,freq_se,7.06534199721555
2000,BGR,reading_score,quart_2,below_level_1a,freq,11.2509774795554
2000,BGR,reading_score,quart_2,below_level_1a,freq_se,10.245646626695
2000,BGR,reading_score,quart_2,level_1a,freq,23.210846793697
2000,BGR,reading_score,quart_2,level_1a,freq_se,8.54798390633699
2000,BGR,reading_score,quart_2,level_2,freq,26.5396363048393
2000,BGR,reading_score,quart_2,level_2,freq_se,5.7410314141503
2000,BGR,reading_score,quart_2,level_3,freq,21.9209174901979
2000,BGR,reading_score,quart_2,level_3,freq_se,12.0704465714782
2000,BGR,reading_score,quart_2,level_4,freq,11.3228827631136
2000,BGR,reading_score,quart_2,level_4,freq_se,10.8892184524902
2000,BGR,reading_score,quart_2,level_5,freq,2.28418512647742
2000,BGR,reading_score,quart_2,level_5,freq_se,2.15832613763546
2000,BGR,reading_score,quart_2,level_6,freq,2.92213161933626
2000,BGR,reading_score,quart_2,level_6,freq_se,5.51959729825915
2000,BGR,reading_score,quart_3,below_level_1a,freq,7.92431936980702
2000,BGR,reading_score,quart_3,below_level_1a,freq_se,6.93998486810696
2000,BGR,reading_score,quart_3,level_1a,freq,19.1778684891409
2000,BGR,reading_score,quart_3,level_1a,freq_se,9.1364472143183
2000,BGR,reading_score,quart_3,level_2,freq,24.0138642622933
2000,BGR,reading_score,quart_3,level_2,freq_se,5.74349244662956
2000,BGR,reading_score,quart_3,level_3,freq,25.8128652028985
2000,BGR,reading_score,quart_3,level_3,freq_se,9.72621093718388
2000,BGR,reading_score,quart_3,level_4,freq,15.3539995903289
2000,BGR,reading_score,quart_3,level_4,freq_se,12.5466090763158
2000,BGR,reading_score,quart_3,level_5,freq,4.49901835719158
2000,BGR,reading_score,quart_3,level_5,freq_se,4.95710911182707
2000,BGR,reading_score,quart_3,level_6,freq,1.82982702914705
2000,BGR,reading_score,quart_3,level_6,freq_se,2.52999071318854
2000,BGR,reading_score,quart_4,below_level_1a,freq,4.79170432726929
2000,BGR,reading_score,quart_4,below_level_1a,freq_se,5.43391128634145
2000,BGR,reading_score,quart_4,level_1a,freq,12.421207187779
2000,BGR,reading_score,quart_4,level_1a,freq_se,7.95491340763784
2000,BGR,reading_score,quart_4,level_2,freq,19.5511588709743
2000,BGR,reading_score,quart_4,level_2,freq_se,9.09129135854199
2000,BGR,reading_score,quart_4,level_3,freq,26.118488880249
2000,BGR,reading_score,quart_4,level_3,freq_se,5.64049192203268
2000,BGR,reading_score,quart_4,level_4,freq,21.6055724516116
2000,BGR,reading_score,quart_4,level_4,freq_se,10.8637662676563
2000,BGR,reading_score,quart_4,level_5,freq,11.7575440493744
2000,BGR,reading_score,quart_4,level_5,freq_se,10.7092967664613
2000,BGR,reading_score,quart_4,level_6,freq,11.4886847949879
2000,BGR,reading_score,quart_4,level_6,freq_se,20.4030089222007
2000,CZE,math_score,quart_1,below_level_1a,freq,11.6110865188761
2000,CZE,math_score,quart_1,below_level_1a,freq_se,1.58378171504472
2000,CZE,math_score,quart_1,level_1a,freq,12.9637964773779
2000,CZE,math_score,quart_1,level_1a,freq_se,0.76007653741213
2000,CZE,math_score,quart_1,level_2,freq,16.4704278174587
2000,CZE,math_score,quart_1,level_2,freq_se,0.884810513848031
2000,CZE,math_score,quart_1,level_3,freq,12.2556125688198
2000,CZE,math_score,quart_1,level_3,freq_se,0.825456002913844
2000,CZE,math_score,quart_1,level_4,freq,4.49732194153939
2000,CZE,math_score,quart_1,level_4,freq_se,0.292978608451041
2000,CZE,math_score,quart_1,level_5,freq,1.80535070343573
2000,CZE,math_score,quart_1,level_5,freq_se,0.119902615115979
2000,CZE,math_score,quart_1,level_6,freq,0.522921440145235
2000,CZE,math_score,quart_1,level_6,freq_se,0.0424502838862104
2000,CZE,math_score,quart_2,below_level_1a,freq,4.61424468915531
2000,CZE,math_score,quart_2,below_level_1a,freq_se,0.248816794085051
2000,CZE,math_score,quart_2,level_1a,freq,9.20576462256809
2000,CZE,math_score,quart_2,level_1a,freq_se,0.708183273709745
2000,CZE,math_score,quart_2,level_2,freq,14.3308368184465
2000,CZE,math_score,quart_2,level_2,freq_se,0.992893036471682
2000,CZE,math_score,quart_2,level_3,freq,16.4133449618965
2000,CZE,math_score,quart_2,level_3,freq_se,1.67801697611803
2000,CZE,math_score,quart_2,level_4,freq,9.00578580875769
2000,CZE,math_score,quart_2,level_4,freq_se,0.590192731284291
2000,CZE,math_score,quart_2,level_5,freq,4.29239297390732
2000,CZE,math_score,quart_2,level_5,freq_se,0.266950822771109
2000,CZE,math_score,quart_2,level_6,freq,0.666055451866455
2000,CZE,math_score,quart_2,level_6,freq_se,0.0316233063978233
2000,CZE,math_score,quart_3,below_level_1a,freq,1.92765312958989
2000,CZE,math_score,quart_3,below_level_1a,freq_se,0.239817473908034
2000,CZE,math_score,quart_3,level_1a,freq,4.54933926077974
2000,CZE,math_score,quart_3,level_1a,freq_se,0.329528811505863
2000,CZE,math_score,quart_3,level_2,freq,10.0363763085725
2000,CZE,math_score,quart_3,level_2,freq_se,0.571669967707613
2000,CZE,math_score,quart_3,level_3,freq,14.1772279598995
2000,CZE,math_score,quart_3,level_3,freq_se,0.825739123707048
2000,CZE,math_score,quart_3,level_4,freq,16.0162861737598
2000,CZE,math_score,quart_3,level_4,freq_se,0.818077030841972
2000,CZE,math_score,quart_3,level_5,freq,5.58121046864841
2000,CZE,math_score,quart_3,level_5,freq_se,0.334913387296622
2000,CZE,math_score,quart_3,level_6,freq,3.11399371837364
2000,CZE,math_score,quart_3,level_6,freq_se,0.308905553290837
2000,CZE,math_score,quart_4,below_level_1a,freq,0.902466826928705
2000,CZE,math_score,quart_4,below_level_1a,freq_se,0.154280052465111
2000,CZE,math_score,quart_4,level_1a,freq,2.6847787066147
2000,CZE,math_score,quart_4,level_1a,freq_se,0.422428204324488
2000,CZE,math_score,quart_4,level_2,freq,6.79150970940116
2000,CZE,math_score,quart_4,level_2,freq_se,1.02037497772863
2000,CZE,math_score,quart_4,level_3,freq,11.9213592646163
2000,CZE,math_score,quart_4,level_3,freq_se,1.52909092544821
2000,CZE,math_score,quart_4,level_4,freq,13.2059196884524
2000,CZE,math_score,quart_4,level_4,freq_se,1.73514364173902
2000,CZE,math_score,quart_4,level_5,freq,12.466494739825
2000,CZE,math_score,quart_4,level_5,freq_se,1.27075456542601
2000,CZE,math_score,quart_4,level_6,freq,6.29815801633752
2000,CZE,math_score,quart_4,level_6,freq_se,0.924451404508803
2000,CZE,reading_score,quart_1,below_level_1a,freq,17.0214751196502
2000,CZE,reading_score,quart_1,below_level_1a,freq_se,16.232933589811
2000,CZE,reading_score,quart_1,level_1a,freq,16.9266183477156
2000,CZE,reading_score,quart_1,level_1a,freq_se,4.00712686066763
2000,CZE,reading_score,quart_1,level_2,freq,27.0451817643627
2000,CZE,reading_score,quart_1,level_2,freq_se,6.9769418519585
2000,CZE,reading_score,quart_1,level_3,freq,27.4071399202756
2000,CZE,reading_score,quart_1,level_3,freq_se,4.1402450731454
2000,CZE,reading_score,quart_1,level_4,freq,15.4219731699515
2000,CZE,reading_score,quart_1,level_4,freq_se,8.87389494528788
2000,CZE,reading_score,quart_1,level_5,freq,4.28446566802231
2000,CZE,reading_score,quart_1,level_5,freq_se,4.91931950961435
2000,CZE,reading_score,quart_1,level_6,freq,1.85695372862763
2000,CZE,reading_score,quart_1,level_6,freq_se,2.47131715555718
2000,CZE,reading_score,quart_2,below_level_1a,freq,4.51741988990612
2000,CZE,reading_score,quart_2,below_level_1a,freq_se,4.72477061693806
2000,CZE,reading_score,quart_2,level_1a,freq,12.9443396618465
2000,CZE,reading_score,quart_2,level_1a,freq_se,10.9498067007719
2000,CZE,reading_score,quart_2,level_2,freq,23.4351209895905
2000,CZE,reading_score,quart_2,level_2,freq_se,11.6788098381624
2000,CZE,reading_score,quart_2,level_3,freq,28.7142215306577
2000,CZE,reading_score,quart_2,level_3,freq_se,8.11030149441488
2000,CZE,reading_score,quart_2,level_4,freq,19.8852613896379
2000,CZE,reading_score,quart_2,level_4,freq_se,14.3461463635803
2000,CZE,reading_score,quart_2,level_5,freq,7.90795100720547
2000,CZE,reading_score,quart_2,level_5,freq_se,8.06463822258774
2000,CZE,reading_score,quart_2,level_6,freq,1.83081143878226
2000,CZE,reading_score,quart_2,level_6,freq_se,1.80778388550846
2000,CZE,reading_score,quart_3,below_level_1a,freq,2.22786477341998
2000,CZE,reading_score,quart_3,below_level_1a,freq_se,3.03207756405026
