year,area,concept,hisced,level,metric,value
2000,BEL,reading_score,high,level_2,freq_se,0.716869396217972
2000,BEL,reading_score,high,level_3,freq,27.618411405001
2000,BEL,reading_score,high,level_3,freq_se,0.949033822998649
2000,BEL,reading_score,high,level_4,freq,31.2737755811097
2000,BEL,reading_score,high,level_4,freq_se,0.948413284527242
2000,BEL,reading_score,high,level_5,freq,13.2924049661382
2000,BEL,reading_score,high,level_5,freq_se,0.753839537443352
2000,BEL,reading_score,high,level_6,freq,1.44173339280131
2000,BEL,reading_score,high,level_6,freq_se,0.227148216309151
2000,BEL,reading_score,low,below_level_1a,freq,23.9278758855439
2000,BEL,reading_score,low,below_level_1a,freq_se,3.63725064315796
2000,BEL,reading_score,low,level_1a,freq,27.0758714995186
2000,BEL,reading_score,low,level_1a,freq_se,3.48323987930227
2000,BEL,reading_score,low,level_2,freq,23.2189041294779
2000,BEL,reading_score,low,level_2,freq_se,3.27105192114997
2000,BEL,reading_score,low,level_3,freq,19.2432887028534
2000,BEL,reading_score,low,level_3,freq_se,3.06463439889822
2000,BEL,reading_score,low,level_4,freq,5.4860137321877
2000,BEL,reading_score,low,level_4,freq_se,1.78611441510864
2000,BEL,reading_score,low,level_5,freq,0.984695884376707
2000,BEL,reading_score,low,level_5,freq_se,0.666794867476718
2000,BEL,reading_score,medium,below_level_1a,freq,11.1675550990021
2000,BEL,reading_score,medium,below_level_1a,freq_se,1.6556970702129
2000,BEL,reading_score,medium,level_1a,freq,16.801123812258
2000,BEL,reading_score,medium,level_1a,freq_se,1.96868523469006
2000,BEL,reading_score,medium,level_2,freq,24.367003518235
2000,BEL,reading_score,medium,level_2,freq_se,2.01790594648718
2000,BEL,reading_score,medium,level_3,freq,24.5378497766896
2000,BEL,reading_score,medium,level_3,freq_se,2.01042186553449
2000,BEL,reading_score,medium,level_4,freq,17.5743521677202
2000,BEL,reading_score,medium,level_4,freq_se,1.65579375217944
2000,BEL,reading_score,medium,level_5,freq,5.09417407187278
2000,BEL,reading_score,medium,level_5,freq_se,1.02692326140715
2000,BEL,reading_score,medium,level_6,freq,0.457941554222415
2000,BEL,reading_score,medium,level_6,freq_se,0.335773591753469
2000,BEL,reading_score,low,level_6,freq,0.0968843669507786
2000,BEL,reading_score,low,level_6,freq_se,0.24512221424699
2000,BGR,math_score,high,below_level_1a,freq,11.3515769040252
2000,BGR,math_score,high,below_level_1a,freq_se,0.87977628057068
2000,BGR,math_score,high,level_1a,freq,12.0093998657717
2000,BGR,math_score,high,level_1a,freq_se,1.40587490015642
2000,BGR,math_score,high,level_2,freq,12.5053907731501
2000,BGR,math_score,high,level_2,freq_se,0.399235063492513
2000,BGR,math_score,high,level_3,freq,11.3134498815033
2000,BGR,math_score,high,level_3,freq_se,0.729613937065643
2000,BGR,math_score,high,level_4,freq,5.95425640474658
2000,BGR,math_score,high,level_4,freq_se,0.430977025136027
2000,BGR,math_score,high,level_5,freq,2.04155667897057
2000,BGR,math_score,high,level_5,freq_se,0.146434837296082
2000,BGR,math_score,high,level_6,freq,0.469222462099956
2000,BGR,math_score,high,level_6,freq_se,0.0228806157706321
2000,BGR,math_score,low,below_level_1a,freq,41.93904686945
2000,BGR,math_score,low,below_level_1a,freq_se,179.151026888105
2000,BGR,math_score,low,level_1a,freq,0.672693103917706
2000,BGR,math_score,low,level_1a,freq_se,0.535061418902932
2000,BGR,math_score,low,level_2,freq,9.79500776906551
2000,BGR,math_score,low,level_2,freq_se,44.2020254464567
2000,BGR,math_score,low,level_3,freq,0
2000,BGR,math_score,low,level_3,freq_se,
2000,BGR,math_score,low,level_4,freq,2.88394283595145
2000,BGR,math_score,low,level_4,freq_se,8.23180409022725
2000,BGR,math_score,low,level_5,freq,0
2000,BGR,math_score,low,level_5,freq_se,
2000,BGR,math_score,low,level_6,freq,0
