"year","area","concept","metric","value"
"2000","GBR","reading_score","perc_90",651.22
"2000","GBR","reading_score","perc_90_se",4.9638991730292
"2000","GRC","math_score","mean",447.338021260682
"2000","GRC","math_score","mean_se",5.5762521958828
"2000","GRC","math_score","perc_10",307.64
"2000","GRC","math_score","perc_10_se",7.84175203637555
"2000","GRC","math_score","perc_50",452.54
"2000","GRC","math_score","perc_50_se",5.48081700114134
"2000","GRC","math_score","perc_90",586.11
"2000","GRC","math_score","perc_90_se",8.78903578329273
"2000","GRC","reading_score","mean",474.46397066049
"2000","GRC","reading_score","mean_se",4.99745400542053
"2000","GRC","reading_score","perc_10",343.87
"2000","GRC","reading_score","perc_10_se",7.96345276874298
"2000","GRC","reading_score","perc_50",479.43
"2000","GRC","reading_score","perc_50_se",5.75755026031036
"2000","GRC","reading_score","perc_90",595.78
"2000","GRC","reading_score","perc_90_se",4.62243658690955
"2000","HUN","math_score","mean",483.276000979686
"2000","HUN","math_score","mean_se",4.16159275386661
"2000","HUN","math_score","perc_10",352.59
"2000","HUN","math_score","perc_10_se",4.6118981992234
"2000","HUN","math_score","perc_50",481.66
"2000","HUN","math_score","perc_50_se",4.56955249450096
"2000","HUN","math_score","perc_90",611.12
"2000","HUN","math_score","perc_90_se",5.93616458666705
"2000","HUN","reading_score","mean",479.825956408057
"2000","HUN","reading_score","mean_se",3.96726283223149
"2000","HUN","reading_score","perc_10",352.14
"2000","HUN","reading_score","perc_10_se",4.21236869231553
"2000","HUN","reading_score","perc_50",485.04
"2000","HUN","reading_score","perc_50_se",4.7431461078065
"2000","HUN","reading_score","perc_90",599.41
"2000","HUN","reading_score","perc_90_se",4.14647561189015
"2000","IRL","math_score","mean",503.039007390353
"2000","IRL","math_score","mean_se",2.6240797063031
"2000","IRL","math_score","perc_10",395.13
"2000","IRL","math_score","perc_10_se",4.52359646741397
"2000","IRL","math_score","perc_50",509.79
"2000","IRL","math_score","perc_50_se",2.74031932445837
"2000","IRL","math_score","perc_90",608.5
"2000","IRL","math_score","perc_90_se",3.72172137592271
"2000","IRL","reading_score","mean",526.683521234077
"2000","IRL","reading_score","mean_se",3.24455821723758
"2000","IRL","reading_score","perc_10",404.86
"2000","IRL","reading_score","perc_10_se",6.38821219121595
"2000","IRL","reading_score","perc_50",531.4
"2000","IRL","reading_score","perc_50_se",3.16598246994512
"2000","IRL","reading_score","perc_90",644.86
"2000","IRL","reading_score","perc_90_se",2.48330425038898
"2000","ITA","math_score","mean",458.846021271989
"2000","ITA","math_score","mean_se",2.79065266747279
"2000","ITA","math_score","perc_10",338.31
"2000","ITA","math_score","perc_10_se",6.41967327829074
"2000","ITA","math_score","perc_50",464.02
"2000","ITA","math_score","perc_50_se",3.79664193729141
"2000","ITA","math_score","perc_90",568.67
"2000","ITA","math_score","perc_90_se",3.54034955901249
"2000","ITA","reading_score","mean",487.361413386815
"2000","ITA","reading_score","mean_se",2.90540532328947
"2000","ITA","reading_score","perc_10",368.43
"2000","ITA","reading_score","perc_10_se",4.58802953347076
"2000","ITA","reading_score","perc_50",493.07
"2000","ITA","reading_score","perc_50_se",3.48394388588565
"2000","ITA","reading_score","perc_90",601.66
"2000","ITA","reading_score","perc_90_se",2.89952754772222
"2000","LUX","math_score","mean",446.148129823494
"2000","LUX","math_score","mean_se",1.79721735168976
"2000","LUX","math_score","perc_10",326.44
"2000","LUX","math_score","perc_10_se",4.34673153070211
"2000","LUX","math_score","perc_50",453.13
"2000","LUX","math_score","perc_50_se",3.36127356815836
"2000","LUX","math_score","perc_90",559.99
"2000","LUX","math_score","perc_90_se",2.22486404078989
"2000","LUX","reading_score","mean",440.403330764522
"2000","LUX","reading_score","mean_se",1.45063530985127
"2000","LUX","reading_score","perc_10",309.46
"2000","LUX","reading_score","perc_10_se",4.71870480110803
"2000","LUX","reading_score","perc_50",447.48
"2000","LUX","reading_score","perc_50_se",2.50862312833158
"2000","LUX","reading_score","perc_90",562.39
"2000","LUX","reading_score","perc_90_se",1.72730715276699
"2000","LVA","math_score","mean",461.712147417922
"2000","LVA","math_score","mean_se",4.23332121735977
"2000","LVA","math_score","perc_10",329.78
"2000","LVA","math_score","perc_10_se",6.81847966925179
"2000","LVA","math_score","perc_50",463.82
"2000","LVA","math_score","perc_50_se",4.88229915101481
"2000","LVA","math_score","perc_90",593.01
"2000","LVA","math_score","perc_90_se",4.46686914963937
"2000","LVA","reading_score","mean",459.142286958868
"2000","LVA","reading_score","mean_se",5.2566233811293
"2000","LVA","reading_score","perc_10",326.73
"2000","LVA","reading_score","perc_10_se",6.88734491658435
"2000","LVA","reading_score","perc_50",463.23
"2000","LVA","reading_score","perc_50_se",5.09993578390944
"2000","LVA","reading_score","perc_90",587.56
"2000","LVA","reading_score","perc_90_se",5.70535099709034
"2000","NLD","math_score","mean",562.956075491953
"2000","NLD","math_score","mean_se",3.32411189240403
"2000","NLD","math_score","perc_10",446.44
"2000","NLD","math_score","perc_10_se",7.83199463738325
"2000","NLD","math_score","perc_50",571.61
"2000","NLD","math_score","perc_50_se",5.32471689388274
"2000","NLD","math_score","perc_90",666.36
"2000","NLD","math_score","perc_90_se",4.61909406702222
"2000","NLD","reading_score","mean",531.637155906935
"2000","NLD","reading_score","mean_se",3.25810465031175
"2000","NLD","reading_score","perc_10",407.87
"2000","NLD","reading_score","perc_10_se",6.91060163806308
"2000","NLD","reading_score","perc_50",541.1
"2000","NLD","reading_score","perc_50_se",3.8241691908178
"2000","NLD","reading_score","perc_90",640.18
"2000","NLD","reading_score","perc_90_se",2.73272940482583
"2000","POL","math_score","mean",470.685533173355
"2000","POL","math_score","mean_se",5.43782511792206
"2000","POL","math_score","perc_10",340.94
"2000","POL","math_score","perc_10_se",7.01065724450997
"2000","POL","math_score","perc_50",474.71
"2000","POL","math_score","perc_50_se",4.54153333137609
"2000","POL","math_score","perc_90",596.82
"2000","POL","math_score","perc_90_se",6.2899594593288
"2000","POL","reading_score","mean",480.00824311973
"2000","POL","reading_score","mean_se",4.56970387046498
"2000","POL","reading_score","perc_10",342.96
"2000","POL","reading_score","perc_10_se",7.97815454851559
"2000","POL","reading_score","perc_50",487.61
"2000","POL","reading_score","perc_50_se",4.81639076487779
"2000","POL","reading_score","perc_90",603.21
"2000","POL","reading_score","perc_90_se",6.71297251595746
"2000","PRT","math_score","mean",453.351415208563
"2000","PRT","math_score","mean_se",4.10461679461355
"2000","PRT","math_score","perc_10",331.98
"2000","PRT","math_score","perc_10_se",6.27490836586481
"2000","PRT","math_score","perc_50",457.89
"2000","PRT","math_score","perc_50_se",4.40499772985186
"2000","PRT","math_score","perc_90",567.82
"2000","PRT","math_score","perc_90_se",4.20971198539759
"2000","PRT","reading_score","mean",469.89405121117
"2000","PRT","reading_score","mean_se",4.54609136764082
"2000","PRT","reading_score","perc_10",338.07
"2000","PRT","reading_score","perc_10_se",7.15905196237603
"2000","PRT","reading_score","perc_50",475.76
"2000","PRT","reading_score","perc_50_se",6.05089332247727
"2000","PRT","reading_score","perc_90",592.14
"2000","PRT","reading_score","perc_90_se",4.68588038686435
"2000","SWE","math_score","mean",509.739874399902
"2000","SWE","math_score","mean_se",2.44576901059978
"2000","SWE","math_score","perc_10",388.55
"2000","SWE","math_score","perc_10_se",3.9501588575651
"2000","SWE","math_score","perc_50",512.95
"2000","SWE","math_score","perc_50_se",2.40992531004592
"2000","SWE","math_score","perc_90",624.53
"2000","SWE","math_score","perc_90_se",4.07249923265798
"2000","SWE","reading_score","mean",515.388492362049
"2000","SWE","reading_score","mean_se",2.18083726839397
"2000","SWE","reading_score","perc_10",391.15
"2000","SWE","reading_score","perc_10_se",3.15076260610029
"2000","SWE","reading_score","perc_50",522.31
"2000","SWE","reading_score","perc_50_se",2.55972361789314
"2000","SWE","reading_score","perc_90",629.27
"2000","SWE","reading_score","perc_90_se",2.82017463998241
"2000","EU28","math_score","mean",493.510584998063
"2000","EU28","math_score","mean_se",1.06781068129301
"2000","EU28","math_score","perc_10",360.99
"2000","EU28","math_score","perc_10_se",1.91765221038644
"2000","EU28","math_score","perc_50",498.16
"2000","EU28","math_score","perc_50_se",1.27390933743341
"2000","EU28","math_score","perc_90",619.52
"2000","EU28","math_score","perc_90_se",1.16315949035377
"2000","EU28","reading_score","mean",495.799819621313
"2000","EU28","reading_score","mean_se",0.931676996653237
"2000","EU28","reading_score","perc_10",362.95
"2000","EU28","reading_score","perc_10_se",1.87103714554255
"2000","EU28","reading_score","perc_50",502.95
"2000","EU28","reading_score","perc_50_se",1.04533248299283
"2000","EU28","reading_score","perc_90",618.46
"2000","EU28","reading_score","perc_90_se",0.830677434387137
"2003","AUT","math_score","mean",505.103125709532
"2003","AUT","math_score","mean_se",3.31362008911189
"2003","AUT","math_score","perc_10",384.3589
"2003","AUT","math_score","perc_10_se",4.98135239061643
"2003","AUT","math_score","perc_50",506.029
"2003","AUT","math_score","perc_50_se",3.82267522678818
"2003","AUT","math_score","perc_90",626.3748
"2003","AUT","math_score","perc_90_se",3.54801865489739
"2003","AUT","reading_score","mean",490.907445803748
"2003","AUT","reading_score","mean_se",3.80030737688
"2003","AUT","reading_score","perc_10",354.7258
"2003","AUT","reading_score","perc_10_se",5.35140753764838
"2003","AUT","reading_score","perc_50",500.0647
"2003","AUT","reading_score","perc_50_se",4.3242754422562
"2003","AUT","reading_score","perc_90",618.3858
"2003","AUT","reading_score","perc_90_se",2.90943519845348
"2003","BEL","math_score","mean",529.088526662197
"2003","BEL","math_score","mean_se",2.31436906141067
"2003","BEL","math_score","perc_10",378.2832
"2003","BEL","math_score","perc_10_se",4.67002044647559
"2003","BEL","math_score","perc_50",537.9654
"2003","BEL","math_score","perc_50_se",2.78245806015112
"2003","BEL","math_score","perc_90",665.7112
"2003","BEL","math_score","perc_90_se",2.35375610588693
"2003","BEL","reading_score","mean",506.986624109665
"2003","BEL","reading_score","mean_se",2.45819884514265
"2003","BEL","reading_score","perc_10",353.9119
"2003","BEL","reading_score","perc_10_se",5.29483705287519
"2003","BEL","reading_score","perc_50",521.8816
"2003","BEL","reading_score","perc_50_se",2.74687050968917
"2003","BEL","reading_score","perc_90",634.5132
"2003","BEL","reading_score","perc_90_se",1.55629578374419
"2003","CZE","math_score","mean",516.056348425487
"2003","CZE","math_score","mean_se",3.47617128792972
"2003","CZE","math_score","perc_10",392.0704
"2003","CZE","math_score","perc_10_se",5.74265035876293
"2003","CZE","math_score","perc_50",517.3236
"2003","CZE","math_score","perc_50_se",3.51816690529311
"2003","CZE","math_score","perc_90",640.6294
"2003","CZE","math_score","perc_90_se",4.13485641528212
"2003","CZE","reading_score","mean",488.039392373363
"2003","CZE","reading_score","mean_se",3.28929483375128
"2003","CZE","reading_score","perc_10",361.303
"2003","CZE","reading_score","perc_10_se",7.20538763006543
