"year","area","concept","level","metric","value"
"2000","ESP","books","201_500","freq_se",0.710997907092367
"2000","ESP","books","26_100","freq",23.1204304488088
"2000","ESP","books","26_100","freq_se",0.599834633331588
"2000","ESP","books","more_500","freq",13.2186821302276
"2000","ESP","books","more_500","freq_se",0.90095835867054
"2000","ESP","artworks","no","freq",46.78925523446
"2000","ESP","artworks","no","freq_se",1.20555655347682
"2000","ESP","artworks","yes","freq",53.21074476554
"2000","ESP","artworks","yes","freq_se",1.20555655347682
"2000","ESP","classics","no","freq",26.4251257379243
"2000","ESP","classics","no","freq_se",1.09794120035952
"2000","ESP","classics","yes","freq",73.5748742620757
"2000","ESP","classics","yes","freq_se",1.09794120035952
"2000","ESP","lonely","agree","freq",4.7764936139608
"2000","ESP","lonely","agree","freq_se",0.355891644566102
"2000","ESP","lonely","disagree","freq",31.1541220149177
"2000","ESP","lonely","disagree","freq_se",0.797626298422588
"2000","ESP","lonely","strongly_agree","freq",1.9744742103583
"2000","ESP","lonely","strongly_agree","freq_se",0.198066482501657
"2000","ESP","lonely","strongly_disagree","freq",62.0949101607632
"2000","ESP","lonely","strongly_disagree","freq_se",0.908581038384109
"2000","ESP","computer","daily","freq",25.4071998337693
"2000","ESP","computer","daily","freq_se",1.29223697586613
"2000","ESP","computer","monthly","freq",6.42598546762324
"2000","ESP","computer","monthly","freq_se",0.488774935951217
"2000","ESP","computer","never","freq",41.1827246544899
"2000","ESP","computer","never","freq_se",1.57349455101649
"2000","ESP","computer","weekly","freq",12.0914159084933
"2000","ESP","computer","weekly","freq_se",0.865579044124191
"2000","ESP","computer","yearly","freq",14.8926741356242
"2000","ESP","computer","yearly","freq_se",0.913789896481745
"2000","FIN","books","0_10","freq",7.26210537855722
"2000","FIN","books","0_10","freq_se",0.424524095204026
"2000","FIN","books","101_200","freq",24.3901302518199
"2000","FIN","books","101_200","freq_se",0.67729832499688
"2000","FIN","books","11_25","freq",23.3445067114638
"2000","FIN","books","11_25","freq_se",0.651619001029635
"2000","FIN","books","201_500","freq",14.0828493962419
"2000","FIN","books","201_500","freq_se",0.539901013610342
"2000","FIN","books","26_100","freq",24.4305838115003
"2000","FIN","books","26_100","freq_se",0.582103820131368
"2000","FIN","books","more_500","freq",6.48982445041688
"2000","FIN","books","more_500","freq_se",0.469712530465243
"2000","FIN","artworks","no","freq",21.8870327354328
"2000","FIN","artworks","no","freq_se",0.674243753711459
"2000","FIN","artworks","yes","freq",78.1129672645671
"2000","FIN","artworks","yes","freq_se",0.674243753711457
"2000","FIN","classics","no","freq",45.4331011347958
"2000","FIN","classics","no","freq_se",1.02141320839343
"2000","FIN","classics","yes","freq",54.5668988652042
"2000","FIN","classics","yes","freq_se",1.02141320839343
"2000","FIN","lonely","agree","freq",6.78142290625156
"2000","FIN","lonely","agree","freq_se",0.406381300435071
"2000","FIN","lonely","disagree","freq",41.0869187850863
"2000","FIN","lonely","disagree","freq_se",0.73246534910482
"2000","FIN","lonely","strongly_agree","freq",1.28493527246465
"2000","FIN","lonely","strongly_agree","freq_se",0.181755381361367
"2000","FIN","lonely","strongly_disagree","freq",50.8467230361975
"2000","FIN","lonely","strongly_disagree","freq_se",0.777552484538558
"2000","FIN","computer","daily","freq",23.4983869625587
"2000","FIN","computer","daily","freq_se",1.08901058276704
"2000","FIN","computer","monthly","freq",13.4494041354584
"2000","FIN","computer","monthly","freq_se",0.686639985893599
"2000","FIN","computer","never","freq",6.43817203408939
"2000","FIN","computer","never","freq_se",0.813105708079538
"2000","FIN","computer","weekly","freq",41.7362138880449
"2000","FIN","computer","weekly","freq_se",1.21755979825436
"2000","FIN","computer","yearly","freq",14.8778229798486
"2000","FIN","computer","yearly","freq_se",0.98147287420457
"2000","FRA","books","0_10","freq",11.800960590704
"2000","FRA","books","0_10","freq_se",0.697624761010179
"2000","FRA","books","101_200","freq",21.5725962396854
"2000","FRA","books","101_200","freq_se",0.731815823285307
"2000","FRA","books","11_25","freq",22.0298484542225
"2000","FRA","books","11_25","freq_se",0.71411953735699
"2000","FRA","books","201_500","freq",13.7842936288447
"2000","FRA","books","201_500","freq_se",0.627481286245222
"2000","FRA","books","26_100","freq",22.1743124251483
"2000","FRA","books","26_100","freq_se",0.704962925054055
"2000","FRA","books","more_500","freq",8.63798866139509
