year,area,concept,computer,metric,value
2000,GBR,math_score,never,mean_se,48.8701333326577
2000,GBR,math_score,weekly,mean,536.505855847515
2000,GBR,math_score,weekly,mean_se,11.9733243856567
2000,GBR,math_score,yearly,mean,552.65372764031
2000,GBR,math_score,yearly,mean_se,25.8600107957881
2000,GBR,reading_score,daily,mean,517.691019554533
2000,GBR,reading_score,daily,mean_se,3.7613622922512
2000,GBR,reading_score,monthly,mean,531.561719399105
2000,GBR,reading_score,monthly,mean_se,5.39972418210492
2000,GBR,reading_score,never,mean,524.967007190795
2000,GBR,reading_score,never,mean_se,6.39098734595227
2000,GBR,reading_score,weekly,mean,530.053072783875
2000,GBR,reading_score,weekly,mean_se,4.06681016067804
2000,GBR,reading_score,yearly,mean,542.108710525514
2000,GBR,reading_score,yearly,mean_se,4.60160924675762
2000,GRC,math_score,daily,mean,431.073945009549
2000,GRC,math_score,daily,mean_se,93.6315495902727
2000,GRC,math_score,monthly,mean,443.681564804255
2000,GRC,math_score,monthly,mean_se,103.045148274986
2000,GRC,math_score,never,mean,462.446557717038
2000,GRC,math_score,never,mean_se,31.053770240999
2000,GRC,math_score,weekly,mean,455.040342647162
2000,GRC,math_score,weekly,mean_se,74.2431878075065
2000,GRC,math_score,yearly,mean,444.752963790899
2000,GRC,math_score,yearly,mean_se,36.2868352425675
2000,GRC,reading_score,daily,mean,460.746738414312
2000,GRC,reading_score,daily,mean_se,6.53512238083365
2000,GRC,reading_score,monthly,mean,461.619100222398
2000,GRC,reading_score,monthly,mean_se,8.09844365115535
2000,GRC,reading_score,never,mean,495.157529085589
2000,GRC,reading_score,never,mean_se,4.92782638052688
2000,GRC,reading_score,weekly,mean,478.88691073777
2000,GRC,reading_score,weekly,mean_se,5.97450965240468
2000,GRC,reading_score,yearly,mean,469.500752250701
2000,GRC,reading_score,yearly,mean_se,5.92691249051164
2000,HUN,math_score,daily,mean,489.803702710641
2000,HUN,math_score,daily,mean_se,18.2332637150574
2000,HUN,math_score,monthly,mean,464.984791996108
2000,HUN,math_score,monthly,mean_se,195.687188899493
2000,HUN,math_score,never,mean,473.864691836918
2000,HUN,math_score,never,mean_se,94.4006776234014
2000,HUN,math_score,weekly,mean,491.731077993672
2000,HUN,math_score,weekly,mean_se,25.2778109169353
2000,HUN,math_score,yearly,mean,477.961409519577
2000,HUN,math_score,yearly,mean_se,115.371052785646
2000,HUN,reading_score,daily,mean,483.879718556634
2000,HUN,reading_score,daily,mean_se,4.22997607358323
2000,HUN,reading_score,monthly,mean,461.007857771902
2000,HUN,reading_score,monthly,mean_se,9.78190820123973
2000,HUN,reading_score,never,mean,477.931256163726
2000,HUN,reading_score,never,mean_se,8.45134913034611
2000,HUN,reading_score,weekly,mean,488.076785592047
2000,HUN,reading_score,weekly,mean_se,5.05154785359855
2000,HUN,reading_score,yearly,mean,472.854344083751
2000,HUN,reading_score,yearly,mean_se,11.4549806567402
2000,IRL,math_score,daily,mean,509.041413967482
2000,IRL,math_score,daily,mean_se,35.0333620968226
2000,IRL,math_score,monthly,mean,503.637585370735
2000,IRL,math_score,monthly,mean_se,65.4499203804744
2000,IRL,math_score,never,mean,500.457852643897
