year,area,concept,hisced,metric,value
2000,ITA,reading_score,low,mean_se,8.87028328917234
2000,ITA,reading_score,medium,mean,468.490457007993
2000,ITA,reading_score,medium,mean_se,3.7347469981039
2000,LUX,math_score,high,mean,476.749606727148
2000,LUX,math_score,high,mean_se,10.2510683930819
2000,LUX,math_score,low,mean,405.643876173138
2000,LUX,math_score,low,mean_se,16.9970674359999
2000,LUX,math_score,medium,mean,460.155499970503
2000,LUX,math_score,medium,mean_se,21.2739996177104
2000,LUX,reading_score,high,mean,478.283439798368
2000,LUX,reading_score,high,mean_se,2.6080584130619
2000,LUX,reading_score,low,mean,390.326294722271
2000,LUX,reading_score,low,mean_se,3.94173404625145
2000,LUX,reading_score,medium,mean,447.525752447685
2000,LUX,reading_score,medium,mean_se,4.20970413658782
2000,LVA,math_score,high,mean,470.737469306421
2000,LVA,math_score,high,mean_se,19.7406280372946
2000,LVA,math_score,low,mean,419.207854185351
2000,LVA,math_score,low,mean_se,1246.90950218341
2000,LVA,math_score,medium,mean,415.872529974539
2000,LVA,math_score,medium,mean_se,171.855665274237
2000,LVA,reading_score,high,mean,466.948081010817
2000,LVA,reading_score,high,mean_se,5.29928910492591
2000,LVA,reading_score,low,mean,387.113357956761
2000,LVA,reading_score,low,mean_se,29.0534593465884
2000,LVA,reading_score,medium,mean,415.332362687857
2000,LVA,reading_score,medium,mean_se,8.66026649760461
2000,NLD,math_score,high,mean,580.365405713299
2000,NLD,math_score,high,mean_se,16.4887255576757
2000,NLD,math_score,low,mean,491.33042548891
2000,NLD,math_score,low,mean_se,252.900588693158
2000,NLD,math_score,medium,mean,560.741278028187
2000,NLD,math_score,medium,mean_se,25.1447493358443
2000,NLD,reading_score,high,mean,550.406378278676
2000,NLD,reading_score,high,mean_se,3.57719266952286
2000,NLD,reading_score,low,mean,455.906544967799
2000,NLD,reading_score,low,mean_se,12.1442813692682
2000,NLD,reading_score,medium,mean,524.15868351401
2000,NLD,reading_score,medium,mean_se,3.83630171640688
2000,POL,math_score,high,mean,492.630081467801
2000,POL,math_score,high,mean_se,34.2531594229873
2000,POL,math_score,low,mean,0
2000,POL,math_score,low,mean_se,
2000,POL,math_score,medium,mean,442.357517703431
2000,POL,math_score,medium,mean_se,30.6364278889777
2000,POL,reading_score,high,mean,502.396815803976
2000,POL,reading_score,high,mean_se,4.94281989988413
2000,POL,reading_score,low,mean,0
2000,POL,reading_score,low,mean_se,
2000,POL,reading_score,medium,mean,446.259745170238
2000,POL,reading_score,medium,mean_se,4.97102598452059
2000,PRT,math_score,high,mean,479.360275229416
2000,PRT,math_score,high,mean_se,26.7014589035986
2000,PRT,math_score,low,mean,433.573714559743
2000,PRT,math_score,low,mean_se,20.3898780355487
2000,PRT,math_score,medium,mean,451.269440541399
2000,PRT,math_score,medium,mean_se,20.3009998976121
2000,PRT,reading_score,high,mean,501.486932865421
2000,PRT,reading_score,high,mean_se,5.82877558833795
2000,PRT,reading_score,low,mean,450.889268307805
2000,PRT,reading_score,low,mean_se,4.61550360582107
2000,PRT,reading_score,medium,mean,462.171618060598
2000,PRT,reading_score,medium,mean_se,4.71217259757079
2000,SWE,math_score,high,mean,518.741204610903
2000,SWE,math_score,high,mean_se,6.70397804984902
2000,SWE,math_score,low,mean,448.354225959615
2000,SWE,math_score,low,mean_se,241.845355606662
2000,SWE,math_score,medium,mean,497.060564030635
2000,SWE,math_score,medium,mean_se,23.2299074485166
2000,SWE,reading_score,high,mean,525.033540534438
2000,SWE,reading_score,high,mean_se,2.24289978974982
2000,SWE,reading_score,low,mean,438.953744776392
2000,SWE,reading_score,low,mean_se,16.1050554454123
2000,SWE,reading_score,medium,mean,503.775456595529
2000,SWE,reading_score,medium,mean_se,3.59591161485841
2000,EU28,math_score,high,mean,516.108061900345
2000,EU28,math_score,high,mean_se,1.76407701206549
2000,EU28,math_score,low,mean,440.198410669731
2000,EU28,math_score,low,mean_se,5.92288269549314
2000,EU28,math_score,medium,mean,481.650349040526
2000,EU28,math_score,medium,mean_se,1.49482898311103
2000,EU28,reading_score,high,mean,519.553280962773
2000,EU28,reading_score,high,mean_se,1.03119138833566
2000,EU28,reading_score,low,mean,450.19854012444
2000,EU28,reading_score,low,mean_se,2.55852830133243
2000,EU28,reading_score,medium,mean,482.168066868178
2000,EU28,reading_score,medium,mean_se,1.15475476603048
2003,AUT,math_score,high,mean,519.105670195103
2003,AUT,math_score,high,mean_se,14.9882000212544
2003,AUT,math_score,low,mean,448.315648687696
2003,AUT,math_score,low,mean_se,37.1056920871791
2003,AUT,math_score,medium,mean,506.289518840298
2003,AUT,math_score,medium,mean_se,13.2093860182788
2003,AUT,reading_score,high,mean,510.872008969004
2003,AUT,reading_score,high,mean_se,4.15748623701284
2003,AUT,reading_score,low,mean,413.727283052145
2003,AUT,reading_score,low,mean_se,8.11995388226469
2003,AUT,reading_score,medium,mean,490.236294536589
2003,AUT,reading_score,medium,mean_se,4.09532985824566
2003,BEL,math_score,high,mean,560.493098499839
2003,BEL,math_score,high,mean_se,6.34912529325584
2003,BEL,math_score,low,mean,467.158634195079
